Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate,Cutoff,Olevel_Valid,olevel_avg_points,admitted_numeric
Clinical Sciences,Physiotherapy,377,19,81.33,73.75,1,3.04,2
Social Sciences,Political Science,324,3,58.3,68.6,1,2.96,0
Science,Cell Biology & Genetics,389,4,67.83,50.0,1,3.04,0
Law,Law,285,12,63.62,68.65,1,3.2,1
Law,Law,312,17,68.8,68.65,1,2.56,2
Environmental Sciences,Estate Management,292,18,67.7,50.0,1,2.64,2
Engineering,Surveying & Geoinformatics Engineering,368,0,59.2,50.0,1,2.64,0
Science,Cell Biology & Genetics,364,18,78.3,50.0,1,2.96,2
Social Sciences,Sociology,232,27,68.0,66.15,1,2.4,2
Arts,Creative Arts,168,29,61.6,67.05,1,2.32,0
Science,Computer Science,395,17,85.97,71.75,1,3.92,2
Management Sciences,IRPM,246,12,59.55,50.0,1,3.36,2
Education,Education Mathematics,324,22,75.7,50.0,1,2.64,2
Science,Microbiology,359,23,84.28,50.0,1,3.28,2
Law,Law,186,13,53.05,68.65,1,3.36,0
Basic Medical Sciences,Pharmacology,318,4,59.75,72.625,1,3.2,0
Pharmacy,Pharmacy,162,3,40.45,76.125,1,3.44,0
Engineering,Computer Engineering,387,15,78.97,50.0,1,3.12,2
Arts,Islamic Religious Studies,307,22,75.97,60.225,1,3.12,2
Clinical Sciences,Nursing,255,1,46.88,70.875,1,2.8,0
Arts,History & Strategic Studies,219,28,69.78,68.6,1,2.88,2
Education,Education French,313,17,72.53,50.0,1,3.28,2
Arts,Islamic Religious Studies,163,14,48.77,60.225,1,2.88,0
Education,Education Igbo,372,27,85.9,50.0,1,2.48,2
Science,Zoology,252,23,68.9,50.0,1,2.88,2
Engineering,Civil & Environmental Engineering,250,25,71.05,50.0,1,2.96,2
Arts,Philosophy,385,29,89.92,67.4,1,2.56,2
Management Sciences,Finance,356,28,88.5,68.9,1,3.2,2
Basic Medical Sciences,Physiology,159,25,59.67,71.55,1,2.96,0
Pharmacy,Pharmacy,243,26,70.78,76.125,1,2.88,1
Law,Law,376,23,85.2,68.65,1,3.04,2
Social Sciences,Political Science,319,4,60.67,68.6,1,3.36,0
Education,Education Geography,303,0,51.48,50.0,1,2.72,0
Dental Sciences,Dentistry,161,0,37.73,77.4,1,3.52,0
Clinical Sciences,Radiography,226,30,73.45,72.525,1,3.04,2
Clinical Sciences,Medicine and Surgery,170,26,62.45,80.8,1,3.04,0
Social Sciences,Social Work,314,14,68.85,50.0,1,3.12,2
Dental Sciences,Dentistry,164,21,54.3,77.4,1,2.56,0
Education,Education Geography,250,1,49.05,50.0,1,3.36,0
Management Sciences,Finance,386,15,76.45,68.9,1,2.64,2
Education,Education Yoruba,280,22,71.0,50.0,1,2.8,2
Dental Sciences,Dentistry,248,23,68.0,77.4,1,2.8,1
Engineering,Mechanical Engineering,291,26,75.58,50.0,1,2.64,2
Engineering,Biomedical Engineering,361,5,63.73,50.0,1,2.72,0
Education,Technology Education,263,14,62.48,50.0,1,3.12,2
Science,Geophysics,284,23,74.9,50.0,1,3.28,2
Arts,English,242,25,73.65,68.175,1,3.68,2
Arts,Christian Religious Studies,140,14,47.1,61.625,1,3.12,0
Arts,Christian Religious Studies,203,3,44.77,61.625,1,3.28,0
Education,Education Yoruba,303,28,79.08,50.0,1,2.64,2
Arts,Islamic Religious Studies,353,29,87.92,60.225,1,2.96,2
Law,Law,341,21,77.62,68.65,1,2.8,2
Pharmacy,Pharmacy,215,1,45.48,76.125,1,3.52,0
Environmental Sciences,Quantity Surveying,266,19,65.85,50.0,1,2.72,2
Law,Law,153,30,61.52,68.65,1,2.48,0
Pharmacy,Pharmacy,371,21,84.17,76.125,1,3.36,2
Basic Medical Sciences,Medical Laboratory Science,263,20,66.47,74.675,1,2.72,1
Management Sciences,Business Administration,387,2,66.38,68.65,1,3.2,0
Engineering,Systems Engineering,388,14,77.3,50.0,1,2.96,2
Basic Medical Sciences,Pharmacology,309,22,76.22,72.625,1,3.12,2
Dental Sciences,Dentistry,166,28,65.55,77.4,1,3.36,0
Arts,Christian Religious Studies,298,2,55.65,61.625,1,3.28,0
Science,Mathematics,151,19,52.67,50.0,1,2.96,0
Dental Sciences,Dentistry,368,15,76.2,77.4,1,3.04,1
Basic Medical Sciences,Physiology,233,17,62.92,71.55,1,3.36,1
Social Sciences,Economics,229,14,56.62,69.95,1,2.8,1
Clinical Sciences,Nursing,300,5,57.3,70.875,1,2.96,0
Dental Sciences,Dentistry,188,0,35.9,77.4,1,2.48,0
Social Sciences,Geography,398,1,68.75,50.0,1,3.6,0
Pharmacy,Pharmacy,364,11,70.9,76.125,1,2.88,0
Dental Sciences,Dentistry,236,7,50.9,77.4,1,2.88,0
Management Sciences,Actuarial Science,357,29,90.83,61.875,1,3.44,2
Pharmacy,Pharmacy,363,16,76.58,76.125,1,3.04,2
Environmental Sciences,Architecture,264,24,73.0,50.0,1,3.2,2
Pharmacy,Pharmacy,218,20,65.25,76.125,1,3.6,1
Social Sciences,Mass Communication,322,24,79.05,72.35,1,2.96,2
Basic Medical Sciences,Physiology,155,10,44.17,71.55,1,2.96,0
Education,Human Kinetics Education,267,18,66.58,50.0,1,3.04,2
Clinical Sciences,Medicine and Surgery,193,28,66.53,80.8,1,2.88,0
Arts,History & Strategic Studies,206,29,68.35,68.6,1,2.72,1
Basic Medical Sciences,Physiology,185,12,47.52,71.55,1,2.48,0
Education,Educational Foundations,260,17,63.5,50.0,1,2.8,2
Basic Medical Sciences,Pharmacology,283,13,64.38,72.625,1,3.2,1
Dental Sciences,Dentistry,230,6,51.15,77.4,1,3.28,0
Education,Education Igbo,329,20,75.53,50.0,1,2.88,2
Education,Education Chemistry,309,21,72.03,50.0,1,2.48,2
Environmental Sciences,Quantity Surveying,349,29,88.62,50.0,1,3.2,2
Clinical Sciences,Physiotherapy,369,2,64.53,73.75,1,3.28,0
Social Sciences,Psychology,360,22,82.6,67.4,1,3.12,2
Pharmacy,Pharmacy,349,25,83.42,76.125,1,2.96,2
Pharmacy,Pharmacy,394,21,83.45,76.125,1,2.64,2
Law,Law,395,23,87.17,68.65,1,2.96,2
Dental Sciences,Dentistry,351,27,88.47,77.4,1,3.52,2
Basic Medical Sciences,Pharmacology,243,10,56.38,72.625,1,3.2,0
Clinical Sciences,Nursing,343,18,76.08,70.875,1,3.04,2
Social Sciences,Sociology,301,10,64.42,66.15,1,3.36,0
Engineering,Civil & Environmental Engineering,204,22,63.1,50.0,1,3.12,2
Science,Marine Biology,330,17,75.45,50.0,1,3.44,2
Dental Sciences,Dentistry,269,28,74.83,77.4,1,2.64,1
Engineering,Mechanical Engineering,183,24,63.27,50.0,1,3.28,0
Clinical Sciences,Radiography,308,23,74.3,72.525,1,2.56,2
Social Sciences,Economics,290,5,58.85,69.95,1,3.52,0
Arts,History & Strategic Studies,281,25,72.12,68.6,1,2.4,2
Education,Education Home Economics,214,29,72.55,50.0,1,3.36,2
Basic Medical Sciences,Pharmacology,280,18,69.0,72.625,1,3.2,1
Pharmacy,Pharmacy,387,8,73.17,76.125,1,3.36,0
Basic Medical Sciences,Physiology,350,14,72.15,71.55,1,2.88,2
Science,Computer Science,212,14,55.7,71.75,1,3.04,1
Education,Education Geography,274,26,74.25,50.0,1,2.8,2
Dental Sciences,Dentistry,287,12,63.48,77.4,1,3.12,1
Education,Education Christian Religious Studies,309,11,62.83,50.0,1,2.64,0
Clinical Sciences,Medicine and Surgery,361,17,76.92,80.8,1,2.96,1
Dental Sciences,Dentistry,400,3,66.6,77.4,1,2.72,0
Engineering,Surveying & Geoinformatics Engineering,335,15,72.88,50.0,1,3.2,2
Dental Sciences,Dentistry,282,17,65.85,77.4,1,2.72,1
Law,Law,325,23,79.22,68.65,1,3.12,2
Social Sciences,Geography,154,2,34.85,50.0,1,2.72,0
Science,Botany,360,15,74.0,50.0,1,2.8,2
Science,Computer Science,286,24,76.95,71.75,1,3.44,2
Environmental Sciences,Urban & Regional Planning,371,28,87.97,50.0,1,2.72,2
Basic Medical Sciences,Pharmacology,189,23,61.83,72.625,1,3.04,0
Education,Human Kinetics Education,229,12,55.83,50.0,1,3.04,2
Science,Statistics,206,25,66.75,50.0,1,3.2,2
Education,Early Childhood Education,306,26,80.25,50.0,1,3.2,2
Education,Human Kinetics Education,211,21,63.77,50.0,1,3.28,2
Science,Microbiology,301,30,81.22,50.0,1,2.72,2
Science,Industrial Mathematics,257,28,75.33,50.0,1,3.04,2
Law,Law,253,21,67.42,68.65,1,2.96,1
Management Sciences,Insurance,156,24,55.5,67.125,1,2.4,0
Basic Medical Sciences,Pharmacology,198,7,44.55,72.625,1,2.56,0
Management Sciences,Accounting,245,19,67.62,74.1,1,3.6,1
Management Sciences,Business Administration,167,10,46.88,68.65,1,3.2,0
Dental Sciences,Dentistry,257,0,45.73,77.4,1,2.72,0
Management Sciences,Accounting,213,6,49.83,74.1,1,3.44,0
Clinical Sciences,Medicine and Surgery,208,14,55.2,80.8,1,3.04,1
Social Sciences,Economics,388,25,88.7,69.95,1,3.04,2
Management Sciences,Insurance,234,14,56.85,67.125,1,2.72,1
Engineering,Biomedical Engineering,335,2,58.27,50.0,1,2.88,0
Engineering,Biomedical Engineering,195,18,56.38,50.0,1,2.8,0
Education,Health Education,168,29,66.0,50.0,1,3.2,0
Law,Law,182,30,66.35,68.65,1,2.72,0
Environmental Sciences,Urban & Regional Planning,234,18,60.85,50.0,1,2.72,2
Law,Law,163,2,36.77,68.65,1,2.88,0
Environmental Sciences,Building,291,23,72.97,50.0,1,2.72,2
Science,Mathematics,368,2,62.4,50.0,1,2.88,0
Law,Law,275,12,60.77,68.65,1,2.88,1
Clinical Sciences,Radiography,295,24,74.08,72.525,1,2.64,2
Science,Botany,198,0,41.15,50.0,1,3.28,0
Education,Education Home Economics,205,28,70.03,50.0,1,3.28,2
Arts,Islamic Religious Studies,252,12,60.7,60.225,1,3.44,2
Clinical Sciences,Radiography,339,7,64.58,72.525,1,3.04,0
Clinical Sciences,Radiography,259,19,64.97,72.525,1,2.72,1
Education,Adult Education,188,3,41.3,50.0,1,2.96,0
Engineering,Computer Engineering,368,20,82.0,50.0,1,3.2,2
Pharmacy,Pharmacy,255,26,71.88,76.125,1,2.8,1
Basic Medical Sciences,Medical Laboratory Science,397,15,78.62,74.675,1,2.8,2
Engineering,Mechanical Engineering,342,4,61.55,50.0,1,2.96,0
Environmental Sciences,Estate Management,372,2,64.9,50.0,1,3.28,0
Social Sciences,Political Science,395,19,84.38,68.6,1,3.2,2
Engineering,Mechanical Engineering,185,2,40.33,50.0,1,3.04,0
Management Sciences,Actuarial Science,351,26,83.88,61.875,1,2.8,2
Clinical Sciences,Medicine and Surgery,145,12,43.33,80.8,1,2.64,0
Law,Law,385,15,78.33,68.65,1,3.04,2
Basic Medical Sciences,Pharmacology,226,29,72.45,72.625,1,3.04,1
Environmental Sciences,Urban & Regional Planning,207,13,55.27,50.0,1,3.28,2
Science,Computer Science,227,26,69.58,71.75,1,3.04,1
Environmental Sciences,Estate Management,143,0,31.07,50.0,1,2.64,0
Science,Statistics,382,1,63.15,50.0,1,2.88,0
Environmental Sciences,Building,301,8,57.62,50.0,1,2.4,0
Science,Geology,256,14,61.2,50.0,1,3.04,2
Management Sciences,Business Administration,259,5,52.17,68.65,1,2.96,0
Basic Medical Sciences,Medical Laboratory Science,304,4,56.0,74.675,1,2.8,0
Pharmacy,Pharmacy,140,14,43.9,76.125,1,2.48,0
Environmental Sciences,Architecture,205,12,53.23,50.0,1,3.12,2
Science,Fisheries,195,13,50.98,50.0,1,2.72,0
Education,Adult Education,174,0,36.55,50.0,1,2.96,0
Engineering,Civil & Environmental Engineering,235,22,64.97,50.0,1,2.72,2
Social Sciences,Mass Communication,330,10,64.85,72.35,1,2.72,0
Clinical Sciences,Medicine and Surgery,200,22,60.6,80.8,1,2.72,1
Management Sciences,Accounting,369,9,69.92,74.1,1,2.96,0
Pharmacy,Pharmacy,216,26,66.6,76.125,1,2.72,1
Environmental Sciences,Building,390,8,73.95,50.0,1,3.44,0
Clinical Sciences,Nursing,364,28,88.3,70.875,1,2.96,2
Basic Medical Sciences,Medical Laboratory Science,173,24,61.23,74.675,1,3.12,0
Science,Cell Biology & Genetics,280,3,53.6,50.0,1,3.12,0
Engineering,Electrical & Electronics Engineering,370,8,66.25,50.0,1,2.4,0
Education,Education Mathematics,399,9,73.28,50.0,1,2.88,0
Management Sciences,Finance,354,9,67.25,68.9,1,2.8,0
Basic Medical Sciences,Medical Laboratory Science,223,17,56.88,74.675,1,2.4,1
Clinical Sciences,Nursing,302,29,81.55,70.875,1,2.96,2
Management Sciences,Business Administration,195,12,53.17,68.65,1,3.36,0
Law,Law,331,28,84.58,68.65,1,3.04,2
Science,Statistics,201,7,48.52,50.0,1,3.28,0
Dental Sciences,Dentistry,360,19,79.6,77.4,1,3.12,2
Law,Law,208,17,55.8,68.65,1,2.56,1
Science,Microbiology,308,22,75.7,50.0,1,3.04,2
Pharmacy,Pharmacy,274,15,63.65,76.125,1,2.88,1
Engineering,Electrical & Electronics Engineering,157,6,42.02,50.0,1,3.28,0
Engineering,Surveying & Geoinformatics Engineering,316,1,56.1,50.0,1,3.12,0
Science,Chemistry,342,17,74.15,50.0,1,2.88,2
Pharmacy,Pharmacy,351,20,79.47,76.125,1,3.12,2
Education,Education Yoruba,385,16,76.92,50.0,1,2.56,2
Arts,Linguistic Igbo/Yoruba,321,25,81.92,61.175,1,3.36,2
Management Sciences,Business Administration,272,30,78.0,68.65,1,2.8,2
Environmental Sciences,Architecture,376,25,88.4,50.0,1,3.28,2
Clinical Sciences,Medicine and Surgery,173,24,56.83,80.8,1,2.24,0
Science,Botany,239,3,49.67,50.0,1,3.36,0
Science,Geology,313,28,84.33,50.0,1,3.44,2
Clinical Sciences,Medicine and Surgery,332,14,69.9,80.8,1,2.88,1
Arts,French,306,10,65.05,66.55,1,3.36,0
Pharmacy,Pharmacy,220,16,56.7,76.125,1,2.64,1
Law,Law,272,7,58.6,68.65,1,3.52,0
Environmental Sciences,Architecture,304,25,79.4,50.0,1,3.28,2
Arts,Christian Religious Studies,261,13,61.23,61.625,1,3.12,1
Pharmacy,Pharmacy,244,20,66.5,76.125,1,3.2,1
Law,Law,240,25,71.4,68.65,1,3.28,2
Science,Microbiology,379,18,79.38,50.0,1,2.8,2
Basic Medical Sciences,Pharmacology,388,26,89.7,72.625,1,3.04,2
Environmental Sciences,Building,151,24,60.08,50.0,1,3.44,0
Pharmacy,Pharmacy,179,14,53.58,76.125,1,3.44,0
Management Sciences,IRPM,219,25,67.58,50.0,1,3.04,2
Science,Geology,147,20,54.77,50.0,1,3.28,0
Basic Medical Sciences,Pharmacology,387,30,95.17,72.625,1,3.36,2
Environmental Sciences,Architecture,274,8,59.45,50.0,1,3.44,0
Law,Law,191,6,46.27,68.65,1,3.28,0
Science,Botany,332,26,79.5,50.0,1,2.4,2
Law,Law,147,1,35.78,68.65,1,3.28,0
Pharmacy,Pharmacy,276,24,75.7,76.125,1,3.44,1
Arts,French,142,7,37.95,66.55,1,2.64,0
Law,Law,224,16,60.0,68.65,1,3.2,1
Education,Education English,144,19,51.4,50.0,1,2.88,0
Dental Sciences,Dentistry,240,22,68.0,77.4,1,3.2,1
Engineering,Biomedical Engineering,348,26,87.5,50.0,1,3.6,2
Environmental Sciences,Building,313,2,57.92,50.0,1,3.36,0
Basic Medical Sciences,Medical Laboratory Science,332,0,54.7,74.675,1,2.64,0
Law,Law,290,13,66.45,68.65,1,3.44,1
Law,Law,220,5,47.7,68.65,1,3.04,0
Education,Business Education,358,1,58.55,50.0,1,2.56,0
Education,Education Yoruba,215,2,47.67,50.0,1,3.76,0
Law,Law,321,26,80.53,68.65,1,2.88,2
Engineering,Civil & Environmental Engineering,171,13,50.38,50.0,1,3.2,0
Social Sciences,Mass Communication,290,22,70.65,72.35,1,2.48,1
Management Sciences,Accounting,238,21,68.35,74.1,1,3.52,1
Pharmacy,Pharmacy,235,20,65.38,76.125,1,3.2,1
Arts,Creative Arts,191,22,61.08,67.05,1,3.04,0
Pharmacy,Pharmacy,281,2,52.33,76.125,1,3.04,0
Basic Medical Sciences,Physiology,167,23,58.27,71.55,1,2.88,0
Law,Law,258,14,62.25,68.65,1,3.2,1
