Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Agriculture,Fisheries and Aquaculture,142,150,45.3,50.3,True,2,not admitted,"A1, A1, C6, A1, B2"
Law,Law,173,240,50.95,55.0,True,1,not admitted,"C5, B3, B3, C6, B3"
Communications and Media Studies,Mass Communication,262,220,60.3,66.3,True,2,not admitted,"A1, A1, C4, C5, B3"
Agriculture,Agricultural Economics and Extension,270,150,59.5,57.8,True,2,admitted,"A1, B3, C4, B2, C6"
College of Medicine,Medicine and Surgery,262,260,57.3,55.0,True,2,admitted,"C5, C6, C4, A1, A1"
Pharmacy,Doctor of Pharmacy,154,240,46.1,55.0,True,1,not admitted,"C6, C4, B2, C6, C4"
Social Sciences,Demography and Social Statistics,325,150,67.75,60.5,True,2,admitted,"C4, C6, A1, A1, C4"
College of Medicine,Medicine and Surgery,311,260,63.65,55.0,True,2,admitted,"C5, B2, C5, A1, C5"
Arts,Linguistics and Language,277,150,71.55,55.0,True,1,admitted,"C4, B2, A1, C4, C4"
Communications and Media Studies,Journalism,189,150,54.35,64.0,True,1,not admitted,"C4, C6, B2, A1, C6"
Law,Law,286,240,60.9,55.0,True,2,admitted,"A1, C6, C5, C4, A1"
Education,Biology Education,263,150,69.45,55.0,True,1,admitted,"A1, C5, C5, B3, A1"
Management Sciences,Public Administration,238,160,64.7,55.0,True,1,admitted,"C5, C6, A1, B2, B2"
Social Sciences,Psychology,147,150,39.05,64.5,True,2,not admitted,"B3, B2, C5, B2, C6"
Education,Biology Education,327,150,71.05,55.0,True,2,admitted,"C4, A1, A1, C6, A1"
Basic Medical Science,Radiology and Radiography,318,200,70.7,71.3,True,1,not admitted,"C5, C6, C4, C5, B2"
Law,Law,326,240,61.9,55.0,True,2,admitted,"C6, A1, C6, C4, C5"
Communications and Media Studies,Pulic Relations,257,150,54.55,55.0,True,2,not admitted,"C5, A1, C5, C6, B2"
Arts,History and International Studies,153,180,40.95,67.8,True,2,not admitted,"A1, C5, A1, C6, C4"
College of Medicine,Medicine and Surgery,220,260,59.0,55.0,True,1,not admitted,"C5, B3, C5, B2, C4"
Social Sciences,Sociology,167,160,47.05,63.95,True,2,not admitted,"A1, C4, A1, C5, B2"
Education,Mathematics Education,350,150,75.5,55.5,True,1,admitted,"C6, B2, C4, C6, C4"
Basic Medical Science,Radiology and Radiography,208,200,43.2,71.3,True,2,not admitted,"C5, C6, C6, A1, C5"
Social Sciences,Psychology,206,150,50.9,64.5,True,2,not admitted,"B3, C6, B2, A1, B3"
Social Sciences,Economics,237,180,46.55,63.75,True,2,not admitted,"C5, C6, C5, B2, C6"
Basic Medical Science,Medical Laboratory Science,170,200,41.5,72.3,True,2,not admitted,"B2, C6, B3, B3, C5"
Education,Health Education,172,150,40.8,57.95,True,2,not admitted,"C5, C4, C5, B2, C4"
Basic Medical Science,Anatomy,306,180,57.9,63.3,True,2,not admitted,"C4, C6, C6, C5, B2"
Education,Chemistry Education,157,150,36.55,55.0,True,2,not admitted,"B3, C5, B2, C6, C6"
College of Medicine,Medicine and Surgery,162,260,41.3,55.0,True,2,not admitted,"B3, C6, C5, B3, A1"
Basic Medical Science,Medical Laboratory Science,215,200,51.25,72.3,True,2,not admitted,"B2, C5, C4, B3, B2"
Communications and Media Studies,Journalism,312,150,69.8,64.0,True,1,admitted,"C4, C5, B3, C4, C6"
Basic Medical Science,Anatomy,212,180,55.8,63.3,True,1,not admitted,"B3, C5, C5, B3, C5"
Environmental Design and Management,Urban and Regional Planning,324,150,82.6,56.0,True,1,admitted,"B2, B2, C5, A1, A1"
Basic Medical Science,Medical Laboratory Science,243,200,45.45,72.3,True,2,not admitted,"C5, C6, B3, C6, C6"
Pharmacy,Doctor of Pharmacy,312,240,75.8,55.0,True,1,admitted,"C6, A1, B2, A1, C6"
Agriculture,Hospitality and Tourism Management,212,150,50.8,58.45,True,2,not admitted,"C4, B2, B2, B2, C6"
Basic Medical Science,Medical Laboratory Science,252,200,66.8,72.3,True,1,not admitted,"C5, C6, A1, A1, B3"
Arts,Theatre and Media Arts,229,200,60.35,65.8,True,1,not admitted,"C5, C4, C4, A1, C5"
Engineering,Agricultural and Bio-Resources Engineering,317,160,64.55,55.0,True,2,admitted,"C6, A1, C6, A1, C4"
Engineering,Electrical and Electronics Engineering,172,200,58.8,63.3,True,1,not admitted,"B2, C5, A1, B2, B2"
Science,Physics,300,150,72.0,56.5,True,1,admitted,"C6, A1, B3, C4, C4"
Basic Medical Science,Radiology and Radiography,177,200,54.55,71.3,True,1,not admitted,"C6, C4, C5, A1, A1"
Education,Mathematics Education,198,150,44.7,55.5,True,2,not admitted,"C5, C6, A1, C5, B3"
Arts,Linguistics and Language,140,150,43.0,55.0,True,1,not admitted,"C4, C6, C4, C5, C4"
Science,Mathematics,199,150,58.85,55.5,True,1,admitted,"C5, A1, C6, A1, B3"
Social Sciences,Political Science,221,180,54.15,62.5,True,2,not admitted,"C5, C5, A1, A1, B2"
Education,Biology Education,270,150,52.5,55.0,True,2,not admitted,"C4, C5, B3, C6, C5"
Agriculture,Soil Science and Land Resources Management,332,150,60.8,55.0,True,2,admitted,"C5, C6, B2, C5, C6"
Arts,Theatre and Media Arts,333,200,79.95,65.8,True,1,admitted,"C4, C4, A1, C5, A1"
Arts, English and Literary Studies,304,150,63.6,55.0,True,2,admitted,"A1, B2, C6, C6, B2"
Pharmacy,Doctor of Pharmacy,311,240,71.65,55.0,True,1,admitted,"C6, C4, B3, B2, C5"
Arts,History and International Studies,187,180,41.05,67.8,True,2,not admitted,"C4, C6, C5, C5, B2"
Law,Law,171,240,37.65,55.0,True,2,not admitted,"C6, C4, C6, C6, A1"
Arts, English and Literary Studies,153,150,51.95,55.0,True,1,not admitted,"C6, A1, C4, C4, A1"
Management Sciences,Accounting,232,200,55.8,55.0,True,2,admitted,"C4, A1, A1, C6, B2"
Pharmacy,Doctor of Pharmacy,291,240,62.65,55.0,True,2,admitted,"B3, C4, B3, C5, A1"
Management Sciences,Business Administration,217,200,49.55,55.0,True,2,not admitted,"B3, C6, C4, C4, A1"
Agriculture,Fisheries and Aquaculture,341,150,83.15,50.3,True,1,admitted,"A1, B3, B2, B3, C4"
Social Sciences,Geography,285,150,61.75,55.0,True,2,admitted,"C4, C4, C5, B2, A1"
College of Medicine,Medicine and Surgery,332,260,66.8,55.0,True,2,admitted,"C4, B2, C4, B3, C5"
Basic Medical Science,Anatomy,143,180,52.45,63.3,True,1,not admitted,"C5, B3, A1, C4, A1"
Social Sciences,Economics,307,180,59.05,63.75,True,2,not admitted,"C6, C5, B3, B2, C6"
Science,Chemistry,194,150,51.1,62.5,True,2,not admitted,"C4, A1, A1, C4, B3"
Environmental Design and Management,Architecture,200,210,53.0,66.25,True,2,not admitted,"B3, A1, B3, A1, C4"
Pharmacy,Doctor of Pharmacy,202,240,52.3,55.0,True,2,not admitted,"A1, C4, B2, B2, C4"
Law,Law,316,240,71.4,55.0,True,2,admitted,"A1, A1, C6, B2, A1"
Arts, English and Literary Studies,182,150,42.3,55.0,True,2,not admitted,"C5, C6, B3, C5, A1"
Basic Medical Science,Anatomy,251,180,61.65,63.3,True,2,not admitted,"B2, C4, B2, A1, B2"
Communications and Media Studies,Broadcasting,155,150,40.25,64.0,True,2,not admitted,"C6, C4, B2, A1, C5"
Education,Guidance and Counselling,206,150,53.9,59.05,True,1,not admitted,"C4, C6, C5, A1, C6"
Education,Physics Education,347,150,79.05,53.6,True,1,admitted,"B3, C6, A1, C5, B3"
Social Sciences,Psychology,347,150,77.05,64.5,True,2,admitted,"A1, A1, C5, B2, A1"
Pharmacy,Doctor of Pharmacy,297,240,65.55,55.0,True,2,admitted,"C5, B3, B3, A1, B2"
Science,Industrial Chemistry,172,150,53.8,60.5,True,2,not admitted,"B2, A1, A1, B2, A1"
Law,Law,179,240,52.85,55.0,True,2,not admitted,"A1, A1, A1, C5, A1"
Engineering,Meterials and Metallurgical Engineering,344,150,80.6,55.0,True,1,admitted,"C5, B3, A1, B2, C5"
Arts,Theatre and Media Arts,243,200,53.45,65.8,True,2,not admitted,"C5, B2, C6, C4, A1"
Basic Medical Science,Medical Laboratory Science,188,200,46.2,72.3,True,2,not admitted,"C5, C6, B3, B2, A1"
Education,Physics Education,216,150,63.4,53.6,True,1,admitted,"A1, B2, B2, B3, C6"
Communications and Media Studies,Broadcasting,269,150,66.35,64.0,True,1,admitted,"C6, C6, A1, A1, C5"
Basic Medical Science,Medical Laboratory Science,243,200,49.45,72.3,True,2,not admitted,"C5, C4, C5, C6, B2"
Social Sciences,Demography and Social Statistics,190,150,47.5,60.5,True,2,not admitted,"B2, C6, B3, A1, C4"
Agriculture,Soil Science and Land Resources Management,345,150,65.75,55.0,True,2,admitted,"C5, C4, C4, B2, C6"
Management Sciences,Business Administration,312,200,76.8,55.0,True,1,admitted,"A1, B3, A1, C5, C5"
Agriculture,Water Resources Management and Agrometeorology,163,150,53.45,55.0,True,1,not admitted,"A1, C6, A1, C6, B2"
Education,Human Kinetics,284,150,59.6,54.9,True,2,admitted,"C5, C4, B2, C6, A1"
Science,Computer Science,235,200,54.25,65.3,True,2,not admitted,"C5, C5, A1, B2, B3"
Basic Medical Science,Medical Laboratory Science,224,200,50.6,72.3,True,2,not admitted,"B3, C6, C5, A1, B3"
Science,Geology,330,150,61.5,59.5,True,2,admitted,"C5, C4, C6, C6, B2"
Social Sciences,Criminology and Security Studies,166,200,55.9,55.0,True,1,not admitted,"A1, B2, C6, C4, A1"
Social Sciences,Demography and Social Statistics,205,150,50.75,60.5,True,2,not admitted,"A1, B2, C5, C6, A1"
College of Medicine,Medicine and Surgery,174,260,56.1,55.0,True,1,not admitted,"C5, C5, B3, A1, A1"
Basic Medical Science,Anatomy,230,180,53.5,63.3,True,2,not admitted,"B3, C5, A1, A1, C6"
College of Medicine,Medicine and Surgery,300,260,63.0,55.0,True,2,admitted,"C6, C5, A1, A1, C4"
Engineering,Mechanical Engineering,210,200,42.5,65.0,True,2,not admitted,"C6, C4, C5, C6, B3"
Communications and Media Studies,Mass Communication,163,220,39.45,66.3,True,2,not admitted,"C6, B2, C6, A1, C5"
Education,Chemistry Education,308,150,60.2,55.0,True,2,admitted,"C5, C4, C5, C4, B3"
Communications and Media Studies,Journalism,286,150,72.9,64.0,True,1,admitted,"A1, B2, C4, B2, C6"
Education,Human Kinetics,143,150,42.45,54.9,True,2,not admitted,"A1, B2, A1, C4, C6"
College of Medicine,Medicine and Surgery,165,260,44.75,55.0,True,2,not admitted,"C6, C5, B2, A1, A1"
Basic Medical Science,Radiology and Radiography,236,200,61.4,71.3,True,1,not admitted,"B2, B3, C6, B2, C6"
Engineering,Meterials and Metallurgical Engineering,260,150,68.0,55.0,True,1,admitted,"C6, C5, A1, B2, B2"
Engineering,Mechanical Engineering,214,200,60.1,65.0,True,1,not admitted,"B2, C6, B3, C5, A1"
Arts, English and Literary Studies,322,150,72.3,55.0,True,2,admitted,"B2, B2, B2, B3, B2"
Management Sciences,Finance,260,160,63.0,55.0,True,1,admitted,"C6, B2, C4, B3, C6"
Basic Medical Science,Anatomy,346,180,64.9,63.3,True,2,admitted,"C6, C6, A1, C6, B3"
Education,Guidance and Counselling,227,150,63.05,59.05,True,1,admitted,"C4, C6, B2, B3, A1"
Basic Medical Science,Medical Laboratory Science,159,200,41.85,72.3,True,1,not admitted,"C6, C6, C6, B3, C6"
Engineering,Civil Engineering,210,200,62.5,65.0,True,1,not admitted,"A1, B3, C4, B2, C4"
Law,Law,193,240,42.95,55.0,True,2,not admitted,"C4, C5, C4, B3, C5"
Arts,History and International Studies,279,180,69.85,67.8,True,1,admitted,"B3, C4, B3, B2, C5"
Education,Mathematics Education,208,150,55.2,55.5,True,2,not admitted,"A1, C4, B3, B2, A1"
Engineering,Agricultural and Bio-Resources Engineering,293,160,63.95,55.0,True,2,admitted,"B2, B2, C4, C6, A1"
Environmental Design and Management,Quantity Surveying,297,170,70.55,60.5,True,1,admitted,"B2, C5, C5, B3, C4"
Pharmacy,Doctor of Pharmacy,150,240,38.5,55.0,True,2,not admitted,"C4, B3, C5, A1, C6"
Pharmacy,Doctor of Pharmacy,295,240,73.25,55.0,True,1,admitted,"B3, B2, B2, C5, C4"
Education,Library and Information Science,258,150,54.7,64.5,True,2,not admitted,"C4, C5, B2, C6, B2"
Education,Guidance and Counselling,238,150,60.7,59.05,True,1,admitted,"C6, C5, B2, C4, B3"
Basic Medical Science,Radiology and Radiography,225,200,50.75,71.3,True,2,not admitted,"C5, C4, A1, C5, B3"
Science,Industrial Chemistry,304,150,71.6,60.5,True,1,admitted,"C5, A1, C6, C5, B2"
Environmental Design and Management,Survey and Geo-informatics,155,150,46.25,55.0,True,1,not admitted,"B3, B2, C5, C6, C6"
Agriculture,Fisheries and Aquaculture,237,150,65.55,50.3,True,1,admitted,"B3, A1, A1, C6, C4"
Communications and Media Studies,Journalism,179,150,46.85,64.0,True,2,not admitted,"A1, C4, B2, C4, C4"
Pharmacy,Doctor of Pharmacy,332,240,61.8,55.0,True,2,admitted,"C6, C6, C5, B2, C4"
College of Medicine,Medicine and Surgery,307,260,81.05,55.0,True,1,admitted,"A1, A1, B2, A1, C5"
Law,Law,157,240,55.55,55.0,True,1,not admitted,"C4, C4, A1, B2, B2"
Engineering,Electrical and Electronics Engineering,142,200,45.3,63.3,True,1,not admitted,"C6, C5, B2, C5, B3"
College of Medicine,Medicine and Surgery,325,260,73.75,55.0,True,2,admitted,"A1, B2, C5, A1, A1"
Pharmacy,Doctor of Pharmacy,263,240,79.45,55.0,True,1,admitted,"A1, A1, A1, A1, A1"
Agriculture,Crop Science and Horticulture,247,150,52.05,57.3,True,2,not admitted,"C5, B3, C5, C4, B3"
Social Sciences,Political Science,143,180,41.45,62.5,True,2,not admitted,"A1, B2, C6, C4, B2"
Communications and Media Studies,Journalism,205,150,53.75,64.0,True,1,not admitted,"C6, C5, C4, B2, C5"
Social Sciences,Psychology,327,150,65.05,64.5,True,2,admitted,"A1, C6, C5, C5, B2"
Science,Mathematics,229,150,44.35,55.5,True,2,not admitted,"C4, C5, C6, C6, C4"
Agriculture,Water Resources Management and Agrometeorology,241,150,55.15,55.0,True,2,admitted,"A1, C6, A1, C4, C4"
Social Sciences,Political Science,213,180,61.95,62.5,True,1,not admitted,"C5, B2, B2, B2, C4"
Law,Law,147,240,32.05,55.0,True,2,not admitted,"B3, C5, C6, C5, C6"
Education,Health Education,285,150,76.75,57.95,True,1,admitted,"A1, A1, A1, C5, B3"
Science,Biochemistry,293,180,57.95,63.75,True,2,not admitted,"B3, B3, B3, C6, C6"
Communications and Media Studies,Journalism,316,150,81.4,64.0,True,1,admitted,"B3, A1, B2, B3, B2"
Social Sciences,Demography and Social Statistics,331,150,82.65,60.5,True,1,admitted,"B2, C5, B2, A1, B2"
Science,Computer Science,234,200,63.1,65.3,True,1,not admitted,"C6, B3, C5, A1, B2"
Communications and Media Studies,Mass Communication,339,220,74.85,66.3,True,1,admitted,"B3, C4, B3, C6, C5"
Environmental Design and Management,Quantity Surveying,268,170,60.2,60.5,True,2,not admitted,"B2, C5, B3, A1, C4"
Science,Computer Science,145,200,41.75,65.3,True,2,not admitted,"B2, C4, C5, A1, B3"
Communications and Media Studies,Mass Communication,153,220,50.95,66.3,True,1,not admitted,"C4, B2, C5, C5, A1"
Pharmacy,Doctor of Pharmacy,251,240,67.65,55.0,True,1,admitted,"B2, B3, C6, A1, B3"
Environmental Design and Management,Architecture,311,210,72.65,66.25,True,1,admitted,"C4, C6, C5, A1, B3"
Education,Health Education,229,150,61.35,57.95,True,1,admitted,"C4, B2, C4, C4, C4"
Social Sciences,Demography and Social Statistics,328,150,66.2,60.5,True,2,admitted,"C5, C4, B2, C4, B3"
Pharmacy,Doctor of Pharmacy,294,240,64.1,55.0,True,2,admitted,"C5, C5, B2, B2, A1"
Social Sciences,Economics,288,180,56.2,63.75,True,2,not admitted,"C6, B2, C6, B3, C5"
Engineering,Computer Engineering,340,200,69.0,64.3,True,2,admitted,"B3, C6, A1, C6, A1"
Law,Law,187,240,64.05,55.0,True,1,not admitted,"B2, A1, B2, B2, B2"
Basic Medical Science,Medical Laboratory Science,310,200,60.5,72.3,True,2,not admitted,"B2, C5, C4, C4, C6"
Education,Guidance and Counselling,207,150,55.05,59.05,True,1,not admitted,"B3, C6, C5, C5, B2"
College of Medicine,Medicine and Surgery,144,260,37.6,55.0,True,2,not admitted,"C6, C4, C5, B3, A1"
Social Sciences,Demography and Social Statistics,208,150,47.2,60.5,True,2,not admitted,"C6, B3, C5, C4, A1"
Communications and Media Studies,Broadcasting,217,150,49.55,64.0,True,2,not admitted,"B2, C6, B2, B3, C5"
Environmental Design and Management,Architecture,194,210,63.1,66.25,True,1,not admitted,"B3, A1, B3, A1, B3"
Communications and Media Studies,Pulic Relations,231,150,50.65,55.0,True,2,not admitted,"B2, C5, B3, B3, C6"
Education,Health Education,335,150,83.25,57.95,True,1,admitted,"C6, A1, A1, A1, B3"
Arts, English and Literary Studies,197,150,52.55,55.0,True,1,not admitted,"B3, C5, C6, C6, B2"
Arts,Linguistics and Language,316,150,76.4,55.0,True,1,admitted,"C5, C5, A1, B3, B2"
Arts,History and International Studies,220,180,61.0,67.8,True,1,not admitted,"C4, C6, B3, B2, B2"
Environmental Design and Management,Estate Management,284,160,58.6,57.5,True,2,admitted,"C5, B2, B2, C6, C4"
Management Sciences,Business Administration,145,200,44.75,55.0,True,2,not admitted,"B2, C4, A1, B3, B2"
Arts,Linguistics and Language,291,150,77.65,55.0,True,1,admitted,"A1, B2, B2, C4, B2"
Communications and Media Studies,Mass Communication,300,220,63.0,66.3,True,2,not admitted,"B2, B2, C5, C5, B3"
Agriculture,Hospitality and Tourism Management,144,150,47.6,58.45,True,1,not admitted,"C5, C4, C6, B3, A1"
Agriculture,Water Resources Management and Agrometeorology,240,150,53.0,55.0,True,2,not admitted,"A1, A1, C5, C5, C6"
Science,Industrial Chemistry,264,150,65.6,60.5,True,1,admitted,"B2, C5, C6, B3, B3"
Social Sciences,Psychology,221,150,62.15,64.5,True,1,not admitted,"C5, B2, B2, C6, A1"
Law,Law,344,240,78.6,55.0,True,1,admitted,"C6, B3, B3, B2, C4"
Environmental Design and Management,Survey and Geo-informatics,298,150,72.7,55.0,True,1,admitted,"C6, B3, C6, A1, A1"
Communications and Media Studies,Mass Communication,188,220,44.2,66.3,True,2,not admitted,"C4, C6, C5, B3, A1"
Agriculture,Animal Production and Health,326,150,81.9,61.3,True,1,admitted,"B2, B3, B3, A1, B3"
Communications and Media Studies,Pulic Relations,339,150,69.85,55.0,True,2,admitted,"C5, A1, B3, B2, C5"
Pharmacy,Doctor of Pharmacy,226,240,61.9,55.0,True,1,not admitted,"B3, B2, B2, C5, C5"
Social Sciences,Economics,312,180,66.8,63.75,True,2,admitted,"C5, C4, A1, C4, A1"
Science,Microbiology,283,180,70.45,65.75,True,1,admitted,"A1, C6, C4, B3, B3"
Basic Medical Science,Anatomy,176,180,48.4,63.3,True,2,not admitted,"B2, C4, A1, B2, C4"
College of Medicine,Medicine and Surgery,319,260,78.85,55.0,True,1,admitted,"B2, A1, B2, B3, C6"
Management Sciences,Accounting,273,200,56.95,55.0,True,2,admitted,"C4, C4, B3, C4, C4"
Communications and Media Studies,Pulic Relations,248,150,65.2,55.0,True,1,admitted,"A1, C6, A1, B3, C6"
Communications and Media Studies,Mass Communication,185,220,62.75,66.3,True,1,not admitted,"B3, A1, B2, B3, A1"
Environmental Design and Management,Building,307,170,70.05,57.5,True,2,admitted,"C4, B2, A1, B3, A1"
College of Medicine,Medicine and Surgery,228,260,58.2,55.0,True,1,not admitted,"B3, C5, B3, C6, C4"
Communications and Media Studies,Broadcasting,248,150,62.2,64.0,True,2,not admitted,"A1, B3, B2, B2, B2"
Agriculture,Fisheries and Aquaculture,223,150,48.45,50.3,True,2,not admitted,"C6, B2, C6, B2, C4"
Education,Biology Education,342,150,80.3,55.0,True,1,admitted,"A1, B2, C4, C6, B3"
Law,Law,252,240,57.8,55.0,True,1,admitted,"C6, C5, C5, B3, C6"
Science,Computer Science,309,200,78.35,65.3,True,1,admitted,"B3, B3, C5, A1, A1"
College of Medicine,Medicine and Surgery,318,260,75.7,55.0,True,1,admitted,"C6, C6, B2, B2, A1"
Communications and Media Studies,Journalism,216,150,53.4,64.0,True,1,not admitted,"C4, C5, C5, C4, C6"
Law,Law,212,240,52.8,55.0,True,2,not admitted,"C5, B3, B3, A1, B2"
Social Sciences,Psychology,222,150,54.3,64.5,True,2,not admitted,"C4, A1, C6, B2, A1"
College of Medicine,Medicine and Surgery,248,260,53.2,55.0,True,2,not admitted,"C6, C5, C4, A1, B3"
College of Medicine,Medicine and Surgery,200,260,53.0,55.0,True,1,not admitted,"C5, C6, A1, C4, C6"
Science,Industrial Chemistry,279,150,68.85,60.5,True,1,admitted,"B3, C6, A1, B3, C5"
Law,Law,157,240,40.55,55.0,True,2,not admitted,"B2, B3, C4, C5, C4"
Pharmacy,Doctor of Pharmacy,204,240,52.6,55.0,True,2,not admitted,"B3, B3, B2, C4, A1"
Environmental Design and Management,Building,210,170,57.5,57.5,True,1,admitted,"B3, B3, C6, A1, C6"
Science,Botany,148,150,39.2,53.5,True,2,not admitted,"B2, B3, A1, C6, C6"
College of Medicine,Medicine and Surgery,226,260,51.9,55.0,True,2,not admitted,"B3, A1, C4, C6, B3"
Engineering,Computer Engineering,152,200,45.8,64.3,True,2,not admitted,"A1, C5, A1, C4, A1"
Law,Law,153,240,40.95,55.0,True,2,not admitted,"B3, B2, A1, C6, C5"
Pharmacy,Doctor of Pharmacy,278,240,58.7,55.0,True,2,admitted,"B2, C4, B2, C4, C6"
Communications and Media Studies,Journalism,337,150,81.55,64.0,True,1,admitted,"C6, B3, A1, B2, B2"
Science,Computer Science,329,200,66.35,65.3,True,2,admitted,"B3, B3, C4, C6, B2"
Science,Chemistry,308,150,74.2,62.5,True,1,admitted,"C4, B2, B2, B3, C6"
Management Sciences,Business Administration,272,200,66.8,55.0,True,2,admitted,"A1, B3, A1, B2, B2"
Engineering,Meterials and Metallurgical Engineering,233,150,48.95,55.0,True,2,not admitted,"B2, C6, B2, C5, C6"
Agriculture,Fisheries and Aquaculture,218,150,60.7,50.3,True,1,admitted,"A1, C5, C4, C4, B3"
