Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Engineering and Technology,Computer Engineering,339,25.91,82.69,True,1,admitted,"C5, C6, A1, C5, B2"
Communication and Information Sciences,Information and Communication Science,376,11.0,72.0,True,2,admitted,"C6, B3, C5, B3, B3"
Physical Sciences,Mathematics,223,28.65,74.12,True,1,admitted,"B2, A1, B3, C4, A1"
Life Sciences,Biochemistry,174,6.38,46.53,True,1,not admitted,"A1, B2, C4, A1, A1"
Clinical Sciences,Nursing Science,306,11.94,66.59,True,1,admitted,"C4, B2, C5, B2, A1"
Engineering and Technology,Biomedical Engineering,222,2.83,44.58,True,2,not admitted,"C6, C4, C4, B2, C4"
Life Sciences,Plant Biology,158,4.68,38.03,True,2,not admitted,"C4, C6, C5, B3, B3"
Basic Medical Sciences,Anatomy,206,3.92,42.87,True,2,not admitted,"C6, B3, C5, C5, B3"
Basic Medical Sciences,Anatomy,351,3.2,64.28,True,1,admitted,"A1, B2, C5, B2, B2"
Pharmaceutical Sciences,Pharmacy,206,2.71,44.86,True,1,not admitted,"C5, A1, C4, B2, B2"
Social Sciences,Political Science,219,22.2,63.58,True,2,admitted,"C6, C5, C6, A1, B2"
Environmental Sciences,Estate Management,370,12.46,73.91,True,2,admitted,"C5, B3, B2, C5, B2"
Communication and Information Sciences,Telecommunication Science,143,16.34,48.22,True,2,not admitted,"C5, C4, C5, B3, B3"
Engineering and Technology,Food & Bioprocess Engineering,271,23.72,74.0,True,1,admitted,"A1, B3, B2, C6, B2"
Physical Sciences,Industrial Chemistry,302,12.39,64.54,True,1,admitted,"C4, C6, A1, B3, C5"
Management Sciences,Marketing,200,8.06,47.06,True,1,not admitted,"C6, C6, C5, B2, A1"
Arts,Linguistics and Nigerian Languages,337,3.32,58.64,True,1,admitted,"A1, C5, C6, C4, C6"
Clinical Sciences,Medicine and Surgery,169,12.22,48.95,True,1,not admitted,"B2, A1, C6, B2, C5"
Law,Law,398,24.63,87.58,True,2,admitted,"C5, C6, B2, B3, C6"
Veterinary Medicine,Veterinary Medicine,187,2.73,42.91,True,2,not admitted,"A1, B2, C4, B2, C4"
Arts,English,373,21.16,82.98,True,2,admitted,"C4, B3, B2, B2, C6"
Veterinary Medicine,Veterinary Medicine,169,7.79,45.72,True,2,not admitted,"A1, B2, B2, C5, B3"
Physical Sciences,Chemistry,283,5.54,55.31,True,1,admitted,"C4, B2, C6, A1, C6"
Law,Law,173,14.19,51.02,True,1,not admitted,"C4, B3, C5, A1, C4"
Management Sciences,Marketing,196,8.34,47.24,True,2,not admitted,"B3, C6, A1, C5, C4"
Education,Educational Management,346,23.25,79.7,True,1,admitted,"C6, C6, C4, A1, C5"
Agriculture,Agricultural Extension and Rural Development,223,25.33,69.2,True,2,admitted,"C4, C6, B3, A1, A1"
Veterinary Medicine,Veterinary Medicine,314,5.33,58.58,True,2,admitted,"C5, A1, C5, C5, C4"
Environmental Sciences,Architecture,355,8.26,69.03,True,2,admitted,"C5, B2, B2, B2, B3"
Communication and Information Sciences,Computer Science,328,5.22,61.02,True,2,admitted,"B3, A1, C4, C4, C6"
Physical Sciences,Industrial Chemistry,174,12.84,51.39,True,2,not admitted,"C4, B3, A1, B2, B3"
Agriculture,Agronomy,142,3.93,36.08,True,1,not admitted,"C4, C4, A1, C4, C6"
Physical Sciences,Computer Science,170,19.74,56.19,True,2,not admitted,"B3, C4, C4, A1, C5"
Life Sciences,Microbiology,330,29.71,86.56,True,1,admitted,"B2, C5, C4, B2, B3"
Veterinary Medicine,Veterinary Medicine,170,17.31,53.36,True,2,not admitted,"A1, C5, C4, C5, B3"
Agriculture,Agronomy,317,26.8,81.62,True,2,admitted,"B3, B2, A1, C6, C5"
Management Sciences,Industrial Relations and Personnel Management,333,11.23,67.25,True,1,admitted,"C6, B3, B2, B3, C5"
Clinical Sciences,Medicine and Surgery,219,1.84,44.41,True,2,not admitted,"C4, C5, C5, A1, B2"
Environmental Sciences,Architecture,195,13.39,52.16,True,1,admitted,"C4, B3, C5, C5, B2"
Clinical Sciences,Medicine and Surgery,251,9.32,55.89,True,1,admitted,"B2, C5, C5, C4, A1"
Basic Medical Sciences,Anatomy,331,4.41,60.58,True,1,admitted,"C4, C5, B2, C4, B3"
Arts,Performing Arts,256,10.23,56.23,True,2,admitted,"C5, C4, B2, C6, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,290,28.0,77.45,True,1,admitted,"C6, C6, C5, B2, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,174,8.18,45.53,True,2,not admitted,"A1, A1, B2, C6, C6"
Life Sciences,Plant Biology,315,14.85,67.83,True,2,admitted,"B2, C6, A1, C6, C6"
Environmental Sciences,Estate Management,272,14.88,62.08,True,2,admitted,"B3, B2, C6, C5, C6"
Agriculture,Animal Production,178,27.94,63.39,True,2,not admitted,"C4, B3, C6, B3, C6"
Environmental Sciences,Urban and Regional Planning,356,14.09,72.99,True,1,admitted,"C6, A1, C6, B2, C4"
Management Sciences,Finance,396,28.13,92.03,True,1,admitted,"C5, B3, B3, B3, C5"
Environmental Sciences,Quantity Surveying,177,25.9,64.83,True,2,not admitted,"B3, B2, C5, A1, B2"
Education,Adult and Primary Education,330,24.75,81.6,True,2,admitted,"B3, C4, C5, B3, A1"
Law,Law,205,16.55,57.38,True,2,admitted,"B3, C5, B2, B2, C5"
Clinical Sciences,Nursing Science,242,3.14,46.19,True,1,not admitted,"C6, A1, C5, C5, C6"
Agriculture,Home Economics and Food Science,175,22.75,59.42,True,2,not admitted,"B3, C4, B3, C4, C4"
Social Sciences,Social Work,180,14.18,53.08,True,2,admitted,"A1, C4, C6, B2, A1"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,225,7.96,50.89,True,2,admitted,"A1, C5, C5, B2, C5"
Agriculture,Agronomy,291,25.31,76.09,True,1,admitted,"C4, B2, C4, B3, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,211,29.5,71.47,True,1,admitted,"C6, A1, A1, C4, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,225,18.57,61.5,True,2,admitted,"A1, C6, C4, C4, B3"
Law,Law,301,9.07,59.89,True,1,admitted,"C5, C6, C6, C4, A1"
Arts,English,389,2.02,67.45,True,2,admitted,"B3, A1, B2, C6, A1"
Education,Adult and Primary Education,179,14.83,52.0,True,2,not admitted,"C4, B2, C6, C4, B2"
Communication and Information Sciences,Telecommunication Science,330,1.69,58.54,True,1,admitted,"B2, B2, C5, B3, C4"
Agriculture,Home Economics and Food Science,356,29.48,88.78,True,2,admitted,"B3, A1, C6, B3, C5"
Environmental Sciences,Surveying and Geo-informatics,185,2.79,41.91,True,2,not admitted,"C5, B2, B2, C4, B2"
Agriculture,Agricultural Extension and Rural Development,314,23.44,75.89,True,1,admitted,"C5, C5, C5, B3, C4"
Management Sciences,Finance,384,29.28,92.08,True,1,admitted,"C6, C6, A1, B2, B3"
Education,Arts Education,302,27.67,79.82,True,1,admitted,"B3, C6, C5, B3, B2"
Physical Sciences,Mathematics,274,0.98,49.23,True,1,not admitted,"B2, C6, B3, C4, C5"
Management Sciences,Business Administration,213,17.1,58.92,True,2,admitted,"B3, C4, B3, B3, C4"
Agriculture,Animal Production,250,12.42,59.67,True,1,admitted,"B2, C5, B2, B3, B3"
Arts,Religions (Christian/Islamic/Comparative),156,25.83,60.13,True,1,not admitted,"C4, B2, C4, C6, B2"
Education,Science Education,242,8.63,53.28,True,1,admitted,"A1, C4, C5, C6, B3"
Social Sciences,Economics,190,20.7,59.25,True,2,admitted,"C6, C4, A1, B3, C4"
Life Sciences,Plant Biology,299,19.72,71.5,True,1,admitted,"C5, C6, A1, C6, A1"
Social Sciences,Social Work,293,27.91,78.94,True,1,admitted,"C6, A1, C5, C5, B2"
Law,Law,351,26.39,85.47,True,1,admitted,"C4, C5, A1, C5, B2"
Agriculture,Crop Protection,268,14.65,62.95,True,1,admitted,"C5, B3, C4, C5, A1"
Basic Medical Sciences,Anatomy,142,5.25,39.4,True,1,not admitted,"A1, B3, C4, A1, C5"
Pharmaceutical Sciences,Pharmacy,173,29.12,66.34,True,2,not admitted,"C4, A1, C5, A1, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,225,4.07,48.59,True,2,not admitted,"B2, B2, C6, A1, B3"
Clinical Sciences,Medicine and Surgery,325,8.4,65.83,True,2,admitted,"A1, B2, C6, A1, B3"
Basic Medical Sciences,Physiology,308,12.3,64.8,True,1,admitted,"C4, C4, C4, B2, C6"
Life Sciences,Biochemistry,221,17.29,58.91,True,1,admitted,"C4, C5, B2, C5, C4"
Clinical Sciences,Medicine and Surgery,204,13.29,56.39,True,1,admitted,"B3, A1, C4, A1, B2"
Agriculture,Home Economics and Food Science,202,6.22,48.27,True,1,not admitted,"C6, A1, A1, C4, A1"
Veterinary Medicine,Veterinary Medicine,288,14.64,66.24,True,2,admitted,"C5, C4, A1, C4, B2"
Communication and Information Sciences,Telecommunication Science,172,12.76,51.06,True,2,not admitted,"C4, B2, A1, B3, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,149,5.84,40.86,True,1,not admitted,"B2, A1, B3, B3, C5"
Agriculture,Aquaculture and Fisheries,243,6.01,51.99,True,1,admitted,"A1, B3, C4, C5, B3"
Communication and Information Sciences,Computer Science,227,29.0,74.58,True,2,admitted,"C5, C4, A1, A1, A1"
Law,Law,300,5.51,57.01,True,1,admitted,"A1, B3, C5, C5, C6"
Agriculture,Agricultural Extension and Rural Development,322,26.08,81.93,True,1,admitted,"C6, B2, B2, B3, B3"
Physical Sciences,Mathematics,367,10.31,73.39,True,2,admitted,"C5, B3, A1, A1, B2"
Agriculture,Crop Protection,362,2.67,60.32,True,2,admitted,"C5, C5, C6, C4, C4"
Basic Medical Sciences,Biomedical Science,263,18.94,63.02,True,2,admitted,"C6, C4, C6, C6, C5"
Life Sciences,Biochemistry,366,6.87,68.62,True,2,admitted,"A1, B2, B2, C5, C5"
Life Sciences,Biochemistry,272,11.01,60.21,True,2,admitted,"C6, C4, B3, B3, A1"
Pharmaceutical Sciences,Pharmacy,393,4.15,67.67,True,2,admitted,"A1, C5, C5, C4, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,221,27.61,70.84,True,2,admitted,"C4, B2, C5, C4, A1"
Education,Educational Technology,183,11.1,47.58,True,2,not admitted,"A1, C6, B2, C6, C6"
Arts,Religions (Christian/Islamic/Comparative),219,5.32,47.5,True,2,not admitted,"C5, C6, A1, B2, C4"
Arts,Yoruba,382,2.66,66.41,True,2,admitted,"C6, B2, A1, C5, A1"
Management Sciences,Finance,335,19.89,76.16,True,1,admitted,"A1, A1, C6, C5, C6"
Clinical Sciences,Nursing Science,152,27.02,61.62,True,2,not admitted,"C4, C5, B2, C4, A1"
Communication and Information Sciences,Telecommunication Science,400,23.89,86.69,True,2,admitted,"C5, C6, C5, A1, C6"
Life Sciences,Biochemistry,378,3.28,64.93,True,1,admitted,"C5, C4, B2, B3, C5"
Communication and Information Sciences,Information and Communication Science,206,22.43,64.58,True,2,admitted,"B3, C5, A1, C4, A1"
Law,Law,276,15.11,64.01,True,2,admitted,"B2, C4, B2, C5, C6"
Pharmaceutical Sciences,Pharmacy,236,24.54,67.24,True,1,admitted,"B3, C5, C6, B2, C6"
Management Sciences,Public Administration,303,17.8,69.67,True,2,admitted,"C5, C4, C5, C4, B2"
Veterinary Medicine,Veterinary Medicine,375,29.43,89.51,True,2,admitted,"C5, C4, C4, C6, B3"
Clinical Sciences,Nursing Science,176,21.14,56.74,True,2,not admitted,"A1, C4, C5, C5, C6"
Physical Sciences,Physics,350,1.56,60.91,True,2,admitted,"C5, C5, A1, B2, B3"
Agriculture,Aquaculture and Fisheries,174,5.69,40.64,True,1,not admitted,"A1, C6, C5, C5, C5"
Clinical Sciences,Medicine and Surgery,165,15.85,50.48,True,1,not admitted,"B3, C5, B3, C4, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,327,4.72,58.8,True,1,admitted,"C4, C4, C6, C4, C4"
Communication and Information Sciences,Telecommunication Science,258,8.78,54.63,True,1,admitted,"B3, C4, C4, C6, C4"
Education,Social Sciences Education,258,19.9,69.35,True,1,admitted,"A1, B3, C5, A1, B2"
Clinical Sciences,Nursing Science,205,12.32,50.34,True,1,admitted,"B2, C5, C6, C6, C5"
Education,Educational Management,174,9.04,46.79,True,1,not admitted,"B2, C4, B2, A1, C6"
Law,Law,290,10.79,61.84,True,1,admitted,"C6, C4, B3, B3, B2"
Physical Sciences,Geology,258,11.19,56.64,True,2,admitted,"A1, C5, C5, C5, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,182,22.03,61.18,True,1,admitted,"C4, C5, A1, B3, A1"
Clinical Sciences,Nursing Science,205,18.09,56.52,True,2,admitted,"B3, C4, C5, C6, C5"
Arts,French,204,16.75,55.85,True,1,admitted,"C5, B3, C6, A1, C6"
Physical Sciences,Computer Science,280,14.38,66.18,True,2,admitted,"A1, B2, B2, C6, B2"
Basic Medical Sciences,Anatomy,278,27.19,76.74,True,2,admitted,"A1, C5, B3, C4, C5"
Communication and Information Sciences,Library and Information Science,346,22.66,79.91,True,2,admitted,"C4, C4, B3, C4, C5"
Management Sciences,Marketing,326,21.02,75.77,True,1,admitted,"C5, B3, C5, B2, C5"
Agriculture,Animal Production,151,0.14,32.61,True,1,not admitted,"A1, C4, C6, C4, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,166,9.78,45.33,True,2,not admitted,"C6, C5, B2, B3, B2"
Environmental Sciences,Quantity Surveying,279,8.79,60.06,True,2,admitted,"B3, B2, C4, C4, A1"
Communication and Information Sciences,Information and Communication Science,254,19.22,65.37,True,1,admitted,"A1, B3, C5, C5, C5"
Basic Medical Sciences,Anatomy,400,27.92,92.32,True,2,admitted,"B3, C6, B2, C6, B2"
Clinical Sciences,Medicine and Surgery,358,8.99,68.94,True,1,admitted,"B2, C5, C6, B2, B2"
Management Sciences,Business Administration,159,17.41,50.88,True,2,not admitted,"B2, B3, C6, C5, C5"
Pharmaceutical Sciences,Pharmacy,173,25.43,61.86,True,2,not admitted,"C4, B2, B3, C5, C4"
Agriculture,Home Economics and Food Science,299,18.44,69.81,True,1,admitted,"C5, B2, C4, C4, C5"
Communication and Information Sciences,Telecommunication Science,338,4.21,62.46,True,2,admitted,"A1, C5, C5, A1, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,379,26.01,87.78,True,1,admitted,"C4, C6, C6, A1, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,216,21.54,64.94,True,2,admitted,"B3, C4, A1, B2, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,330,27.82,83.07,True,1,admitted,"A1, C4, C5, C6, C4"
Agriculture,Forest Resources Management,382,10.64,73.59,True,1,admitted,"B3, C4, B3, C6, A1"
Law,Law,223,16.47,62.74,True,1,admitted,"C4, B2, A1, A1, A1"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,364,23.71,83.21,True,2,admitted,"B3, C5, C5, B2, C5"
Law,Law,285,7.07,57.09,True,1,admitted,"B2, B3, B3, C6, C5"
Basic Medical Sciences,Physiology,322,2.24,53.29,True,2,admitted,"C6, C6, C6, C6, C4"
Life Sciences,Biochemistry,319,21.05,78.12,True,1,admitted,"B2, A1, A1, B3, C5"
Clinical Sciences,Medicine and Surgery,397,22.47,85.69,True,1,admitted,"C5, B3, B2, C6, C5"
Basic Medical Sciences,Anatomy,393,27.57,93.89,True,1,admitted,"C4, B2, B2, B3, A1"
Clinical Sciences,Nursing Science,152,13.55,49.75,True,2,not admitted,"B2, B3, C4, A1, B2"
Arts,Religions (Christian/Islamic/Comparative),363,21.22,83.39,True,2,admitted,"B2, A1, B2, C6, B2"
Engineering and Technology,Agricultural and Biosystems Engineering,285,21.87,71.9,True,2,admitted,"B2, C5, A1, C6, C5"
Pharmaceutical Sciences,Pharmacy,333,26.5,83.72,True,2,admitted,"C5, B3, A1, B2, C5"
Engineering and Technology,Mechanical Engineering,304,25.41,82.21,True,2,admitted,"B2, A1, B3, A1, A1"
Pharmaceutical Sciences,Pharmacy,382,22.36,84.91,True,1,admitted,"A1, A1, C5, C5, C6"
Pharmaceutical Sciences,Pharmacy,252,6.1,54.4,True,1,admitted,"A1, B2, B2, B3, C5"
Agriculture,Agronomy,365,15.06,76.69,True,2,admitted,"B2, C4, C4, C4, A1"
Environmental Sciences,Surveying and Geo-informatics,335,8.18,67.25,True,1,admitted,"A1, B3, B2, C4, B2"
Agriculture,Home Economics and Food Science,169,16.73,53.06,True,1,not admitted,"B2, A1, C4, C4, C6"
Social Sciences,Social Work,397,28.39,93.22,True,1,admitted,"C5, A1, C4, B2, C5"
Law,Law,174,15.89,52.84,True,1,not admitted,"B2, B2, C5, C4, C4"
Life Sciences,Biochemistry,326,22.06,75.61,True,1,admitted,"C5, C4, C5, C5, C4"
Communication and Information Sciences,Information and Communication Science,201,24.04,64.76,True,1,admitted,"C5, B2, B3, B2, C4"
Arts,Religions (Christian/Islamic/Comparative),173,8.04,42.47,True,2,not admitted,"C6, C5, B3, C5, C4"
Life Sciences,Plant Biology,228,26.82,69.72,True,2,admitted,"A1, C5, B2, C6, C5"
Management Sciences,Business Administration,215,6.0,46.47,True,2,not admitted,"B3, C5, C6, B3, C4"
Law,Law,251,11.32,58.29,True,1,admitted,"C4, B3, C6, B2, A1"
Management Sciences,Industrial Relations and Personnel Management,295,5.72,58.59,True,1,admitted,"A1, B2, B3, C6, B3"
Clinical Sciences,Medicine and Surgery,278,7.52,59.07,True,2,admitted,"A1, C5, B3, B2, B2"
Veterinary Medicine,Veterinary Medicine,206,1.27,41.82,True,2,not admitted,"C4, A1, C4, C4, C5"
Clinical Sciences,Medicine and Surgery,272,2.37,50.37,True,2,admitted,"B2, B3, C6, C4, C5"
Management Sciences,Business Administration,231,22.25,64.72,True,2,admitted,"C5, C6, A1, B3, C6"
Engineering and Technology,Agricultural and Biosystems Engineering,378,15.41,77.46,True,1,admitted,"B3, A1, C6, B3, C5"
Clinical Sciences,Medicine and Surgery,400,18.9,85.7,True,2,admitted,"C5, A1, A1, C5, A1"
