<<<<<<< HEAD
faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Arts,Portuguese / English,341,76.62,True,admitted,"B2, C6, B2, C6, C5"
Management Sciences,Accounting,223,64.88,True,admitted,"C6, B2, B2, C5, B3"
Management Sciences,Banking and Finance,388,92.5,False,not admitted,"A1, B3, B3, B2, B2"
College of MEdicine,Nursing,290,73.25,True,admitted,"C5, C6, B2, A1, C4"
Science,Zoology,310,78.75,True,admitted,"B3, B2, B3, A1, C6"
Scool of Transport,Transport Management and Operations,224,67.0,True,admitted,"C5, A1, C4, B2, C4"
Education,Political Science Education,217,71.12,False,not admitted,"A1, A1, B2, C5, B2"
Scool of Transport,Transport Management and Operations,135,55.88,True,not admitted,"C6, C4, B2, A1, B3"
Law,Common/Islamic Law,338,81.25,True,admitted,"A1, B3, B2, C4, C6"
Management Sciences,Taxation,210,61.25,True,admitted,"C6, C5, C4, C4, A1"
Arts,Christian Religious Studies,248,67.0,True,admitted,"B3, B3, C5, C6, B2"
College of MEdicine,Dentistry,211,61.38,True,admitted,"C5, B2, B2, C6, C5"
Social Sciences,Geography and Planning,336,76.0,True,admitted,"B2, C5, C5, C5, C4"
Scool of Transport,Logistics and Supply Chain Management,274,64.25,True,admitted,"C4, C4, C6, C6, C5"
Arts,Arabic,400,82.0,False,not admitted,"C4, A1, C6, C6, C6"
Scool of Library Archival and Information Science,Library and information Science,260,74.5,True,admitted,"A1, C5, B2, B2, B3"
Arts,Portuguese / English,217,55.12,False,not admitted,"C6, C4, C6, C6, C5"
Arts,Theatre Arts,298,80.25,True,admitted,"C5, A1, A1, B3, B2"
Education,Arabic Education,272,72.0,True,admitted,"C4, A1, C6, C5, A1"
Education,Biology Education,355,82.38,True,admitted,"A1, B3, C5, C4, C4"
Scool of Library Archival and Information Science,Library and information Science,398,86.75,True,admitted,"B3, B3, A1, C6, C5"
Education,Christian Religious Studies Education,372,89.5,True,admitted,"C4, B2, B2, A1, B3"
Communication and Media Studies,Mass Communication,364,79.5,False,not admitted,"C5, C4, C4, C6, B2"
Communication and Media Studies,Mass Communication,290,67.25,True,admitted,"B3, C5, C5, C5, C6"
Law,Common/Civil Law,139,56.38,True,not admitted,"B3, B2, C5, B2, C4"
Scool of Library Archival and Information Science,Library and information Science,286,74.75,True,admitted,"B2, B2, C5, A1, C6"
Science,Biochemistry,212,67.5,True,admitted,"C5, B2, B2, A1, C4"
Communication and Media Studies,Mass Communication,324,77.5,True,admitted,"C6, B2, A1, B3, C6"
Management Sciences,Accounting,309,76.62,True,admitted,"C6, B3, B3, C4, A1"
Scool of Library Archival and Information Science,Library and information Science,280,69.0,False,not admitted,"B3, B3, C5, C6, C4"
Scool of Library Archival and Information Science,Library and information Science,263,67.88,True,admitted,"B3, C4, B3, C4, C6"
Scool of Transport,Transport Management and Operations,122,52.25,True,not admitted,"C6, B3, B3, C5, A1"
Environmental Science,Building,172,51.5,True,not admitted,"C5, C6, C5, C6, B3"
Environmental Science,Building,225,63.12,True,admitted,"C5, C5, B2, C4, C4"
Scool of Library Archival and Information Science,Library and information Science,332,81.5,True,admitted,"A1, B2, C4, B3, C5"
Education,Mathematics Education,250,66.25,True,admitted,"B2, C6, C5, B2, C5"
Environmental Science,Environmental Management,229,68.62,True,admitted,"B3, C5, A1, C4, B2"
Scool of Library Archival and Information Science,Library and information Science,351,80.88,False,not admitted,"A1, C5, B3, C4, C5"
Engineering,Mechanical Engineering,385,88.12,False,not admitted,"C4, A1, C6, B2, B2"
Social Sciences,Sociology,163,60.38,True,not admitted,"C6, B3, B3, B2, A1"
Law,Common/Islamic Law,264,67.0,True,admitted,"B3, C6, C6, B3, B3"
Scool of Library Archival and Information Science,Library and information Science,290,75.25,True,admitted,"C5, A1, B2, B3, C5"
Social Sciences,Sociology,315,79.38,False,not admitted,"C4, B3, C5, B2, A1"
Engineering,Industrial Enginerring,251,73.38,True,admitted,"C5, B3, A1, B3, A1"
Management Sciences,Banking and Finance,374,81.75,True,admitted,"C4, C4, B2, C5, C5"
Communication and Media Studies,Mass Communication,302,75.75,True,admitted,"C4, C4, B2, C5, B2"
Engineering,Industrial Enginerring,237,65.62,True,admitted,"B3, B3, C6, C6, A1"
Scool of Library Archival and Information Science,Library and information Science,328,81.0,False,not admitted,"C4, A1, B3, B3, C4"
Science,Fisheries and Aquatic Biology,351,79.88,True,admitted,"C5, C4, C6, B2, B2"
Engineering,Industrial Enginerring,302,73.75,False,not admitted,"C5, A1, C4, B3, C6"
Engineering,Electronic and Computer Engineering,184,62.0,True,not admitted,"B3, A1, C6, C4, B2"
Environmental Science,Estate Management,363,82.38,True,admitted,"C6, C5, A1, B2, C4"
Engineering,Chemical Engineering,263,75.88,True,admitted,"B2, B2, B3, B3, B2"
College of MEdicine,Radiography & Radiation Science,235,72.38,False,not admitted,"C4, B2, B3, B2, A1"
Communication and Media Studies,Mass Communication,261,68.62,False,not admitted,"C5, C5, B2, C5, B2"
Environmental Science,Building,311,71.88,True,admitted,"C6, C4, C4, C5, B3"
Scool of Library Archival and Information Science,Library and information Science,176,64.0,False,not admitted,"C4, B3, B3, A1, B2"
Communication and Media Studies,Mass Communication,372,80.5,True,admitted,"A1, C6, C6, C5, B3"
Engineering,Electronic and Computer Engineering,219,59.38,False,not admitted,"C5, C5, C6, B2, C5"
Arts,History and International studies,374,83.75,True,admitted,"C6, C6, B3, A1, B2"
Scool of Transport,Transport Management and Operations,348,80.5,False,not admitted,"C5, C5, B2, C5, A1"
College of MEdicine,Medicine & Surgery,143,52.88,True,not admitted,"C6, C5, B3, B2, C4"
Engineering,Civil Engineering,132,50.5,False,not admitted,"B3, C6, C6, A1, C5"
Environmental Science,Fine Arts,186,67.25,False,not admitted,"A1, C5, B3, A1, A1"
Science,Botany,380,84.5,True,admitted,"B3, B2, C4, B3, C6"
Engineering,Aeronautical and Astronautical Engineering,383,90.88,False,not admitted,"A1, B2, B3, C5, A1"
Environmental Science,Building,205,66.62,True,admitted,"C4, B3, A1, C5, A1"
Communication and Media Studies,Mass Communication,340,76.5,False,not admitted,"C4, C5, C4, C4, C4"
Education,Mathematics Education,283,77.38,False,not admitted,"B3, B2, C6, A1, A1"
Agriculture,Crop Production,375,82.88,False,not admitted,"C4, C4, C4, B2, C5"
Education,Arabic Education,196,72.5,False,not admitted,"B2, B2, A1, A1, A1"
Environmental Science,Industrial Design,374,82.75,True,admitted,"C4, A1, C6, C6, B2"
Management Sciences,Local Government Development and Administration,388,87.5,True,admitted,"B2, B3, C4, B2, C5"
Communication and Media Studies,Mass Communication,348,80.5,True,admitted,"C4, C4, C6, B3, A1"
Scool of Transport,Transport Management and Operations,282,84.25,True,admitted,"A1, B2, A1, A1, A1"
Arts,Music,234,65.25,True,admitted,"B3, B2, B3, C6, C5"
Education,Special Education,155,57.38,False,not admitted,"C6, C4, C4, A1, B2"
Law,Common/Islamic Law,284,72.5,True,admitted,"C6, A1, C4, C4, B3"
Agriculture,Agricultural Economics,383,88.88,True,admitted,"B2, B3, C4, A1, C4"
Scool of Transport,Logistics and Supply Chain Management,302,74.75,True,admitted,"C4, B3, C4, C4, B3"
Agriculture,Agricultural Extension & Rural Development,279,70.88,True,admitted,"C4, C6, C6, A1, B2"
Scool of Transport,Logistics and Supply Chain Management,338,80.25,True,admitted,"B2, C6, C5, B3, A1"
Law,Common/Islamic Law,124,51.5,True,not admitted,"B3, C4, C6, B2, C4"
Agriculture,Agricultural Economics,122,54.25,False,not admitted,"B2, C6, A1, C4, B3"
Agriculture,Agricultural Economics,150,55.75,False,not admitted,"A1, C6, C4, A1, C6"
Scool of Library Archival and Information Science,Library and information Science,231,63.88,False,not admitted,"B2, C6, C5, B3, C4"
Science,Physics,307,77.38,False,not admitted,"C4, B2, C4, A1, C5"
Engineering,Chemical Engineering,188,61.5,True,not admitted,"B3, B2, C5, C5, B2"
Science,Science Laboratory Technology,327,71.88,True,admitted,"C5, C5, B3, C6, C5"
Scool of Transport,Transport Management and Operations,155,52.38,True,not admitted,"C6, C4, C5, C6, A1"
Scool of Library Archival and Information Science,Library and information Science,377,86.12,False,not admitted,"B2, C6, B2, B2, C4"
Education,English Education,268,66.5,True,admitted,"B3, C5, C4, C5, C5"
Environmental Science,Building,381,90.62,True,admitted,"B3, B3, B2, A1, B3"
Scool of Library Archival and Information Science,Library and information Science,134,44.75,True,not admitted,"C5, C4, C6, C6, C6"
Communication and Media Studies,Mass Communication,299,70.38,True,admitted,"B2, C6, B2, C6, C6"
Environmental Science,Architecture,192,63.0,False,not admitted,"B3, B2, C5, B2, C4"
Scool of Library Archival and Information Science,Library and information Science,269,62.62,True,admitted,"B3, C6, C5, C6, C6"
Education,Mathematics Education,248,65.0,False,not admitted,"B3, C5, C5, C6, B2"
Social Sciences,Geography and Planning,244,68.5,True,admitted,"C6, B2, C4, A1, C4"
Arts,History and International studies,364,81.5,False,not admitted,"A1, C5, C5, B3, C5"
Law,Common/Civil Law,284,66.5,False,not admitted,"C6, C5, C5, B3, C5"
Engineering,Civil Engineering,192,52.0,False,not admitted,"C4, C6, C6, C5, C6"
Education,Christian Religious Studies Education,368,79.0,True,admitted,"C5, C5, C4, C4, C4"
Agriculture,Crop Production,269,68.62,True,admitted,"C5, C5, B3, C6, A1"
Agriculture,Agricultural Economics,203,56.38,True,admitted,"C5, C6, B2, C6, C5"
Science,Zoology,356,90.5,True,admitted,"B3, A1, A1, A1, B3"
Science,Zoology,265,71.12,True,admitted,"B2, C5, C4, A1, C5"
Engineering,Mechanical Engineering,219,61.38,True,admitted,"B3, C5, C6, B2, C5"
Science,Mathematics,217,62.12,False,not admitted,"C4, C5, A1, C5, C5"
Scool of Library Archival and Information Science,Library and information Science,226,68.25,True,admitted,"C6, B2, C4, A1, B2"
Arts,Music,133,52.62,True,not admitted,"C5, C4, B3, C4, B3"
College of MEdicine,Dentistry,121,57.12,True,not admitted,"A1, C5, B2, B2, B3"
College of MEdicine,Physiotherapy,365,77.62,True,admitted,"C6, C6, B3, C6, B2"
Communication and Media Studies,Mass Communication,204,62.5,True,admitted,"A1, B3, C5, C5, C4"
Management Sciences,Public Administration,390,90.75,False,not admitted,"C4, B3, A1, B2, B3"
Education,Physics Education,129,62.12,False,not admitted,"B2, C4, A1, A1, A1"
Science,Zoology,259,70.38,True,admitted,"B3, B2, B3, C5, C4"
College of MEdicine,Pharmacy,400,88.0,False,not admitted,"C6, B2, B3, C4, B2"
Communication and Media Studies,Mass Communication,253,61.62,False,not admitted,"C4, C5, C5, C5, C6"
Agriculture,Animal Science,161,57.12,True,not admitted,"C5, C4, C5, B3, A1"
Environmental Science,Building,316,74.5,False,not admitted,"C5, B2, C5, C5, B3"
Science,Botany,290,75.25,False,not admitted,"C4, A1, A1, C6, C4"
Science,Zoology,384,81.0,True,admitted,"C4, C4, C5, C5, C4"
Scool of Library Archival and Information Science,Library and information Science,222,61.75,False,not admitted,"C6, C4, C6, B2, B3"
Engineering,Mechanical Engineering,220,65.5,False,not admitted,"C4, B3, B2, C6, B2"
Engineering,Aeronautical and Astronautical Engineering,373,88.62,True,admitted,"C4, B2, A1, B3, B3"
Science,Science Laboratory Technology,130,60.25,False,not admitted,"A1, C4, B2, A1, B3"
Scool of Library Archival and Information Science,Library and information Science,295,75.88,True,admitted,"C6, C6, B2, A1, A1"
Agriculture,Agricultural Extension & Rural Development,218,69.25,False,not admitted,"B3, B3, A1, B2, C4"
Engineering,Chemical Engineering,214,59.75,False,not admitted,"C5, B3, C5, C4, C5"
Environmental Science,Survey and Geo-Informatics,212,63.5,False,not admitted,"C5, B2, B3, B3, C5"
Arts,Music,282,68.25,False,not admitted,"C5, C4, C4, C6, B3"
College of MEdicine,Physiology,386,89.25,False,not admitted,"C4, B3, A1, C4, B2"
Science,Botany,346,84.25,False,not admitted,"A1, B3, C5, B2, B3"
Law,Common/Civil Law,313,80.12,False,not admitted,"B2, B2, B3, B2, C5"
Engineering,Industrial Enginerring,311,79.88,True,admitted,"C4, A1, B2, A1, C6"
Communication and Media Studies,Mass Communication,138,56.25,True,not admitted,"B3, B2, C6, C4, A1"
Scool of Transport,Transport Management and Operations,130,54.25,True,not admitted,"A1, C6, C4, B3, B3"
Arts,French,205,66.62,True,admitted,"B2, A1, C5, A1, C5"
Agriculture,Animal Science,256,70.0,True,admitted,"C5, A1, C5, C4, B2"
Management Sciences,Insurance,361,90.12,False,not admitted,"B2, B2, C4, A1, A1"
Environmental Science,Fine Arts,155,56.38,False,not admitted,"B2, A1, C4, C5, C6"
Arts,Christian Religious Studies,241,69.12,True,admitted,"A1, C4, C6, A1, C4"
Science,Zoology,175,55.88,True,not admitted,"B3, B3, C5, C4, C6"
Education,Computer Science Education,187,60.38,False,not admitted,"B2, C5, B3, B3, C5"
Social Sciences,Sociology,229,67.62,False,not admitted,"A1, C6, B2, C5, B2"
Engineering,Chemical Engineering,328,78.0,True,admitted,"A1, C5, B3, C5, C4"
Communication and Media Studies,Mass Communication,237,61.62,True,admitted,"B3, C6, C4, C4, C6"
Law,Common/Islamic Law,177,58.12,True,not admitted,"C6, A1, B2, C5, C5"
Arts,Arabic,187,67.38,False,not admitted,"A1, B2, B2, C5, A1"
Communication and Media Studies,Mass Communication,164,56.5,False,not admitted,"C4, C4, B3, C4, C4"
College of MEdicine,Pharmacology,151,54.88,False,not admitted,"B3, C5, C6, B3, B2"
Scool of Transport,Logistics and Supply Chain Management,348,83.5,True,admitted,"B3, B3, C4, C4, A1"
Education,Islamic Studies Education,202,62.25,True,admitted,"C6, C6, B3, A1, B2"
Management Sciences,Project Management,332,85.5,False,not admitted,"A1, B3, B2, B3, B2"
Management Sciences,Banking and Finance,239,68.88,True,admitted,"C5, B2, B3, C4, B2"
Communication and Media Studies,Mass Communication,239,72.88,True,admitted,"B2, B2, C5, A1, B2"
Engineering,Industrial Enginerring,318,81.75,True,admitted,"A1, C5, B2, A1, C4"
Science,Fisheries and Aquatic Biology,311,72.88,False,not admitted,"C5, C6, C4, A1, C5"
Scool of Library Archival and Information Science,Library and information Science,232,67.0,True,admitted,"A1, B3, C6, C6, A1"
Arts,Arabic,136,51.0,True,not admitted,"C6, C6, B2, C6, A1"
Agriculture,Animal Science,187,64.38,False,not admitted,"C6, B3, A1, B3, A1"
College of MEdicine,Dentistry,192,57.0,True,not admitted,"C5, C5, B3, C6, B3"
Engineering,Industrial Enginerring,395,82.38,False,not admitted,"C5, C5, C4, C4, C4"
Agriculture,Animal Science,387,84.38,False,not admitted,"C6, A1, B3, C5, C4"
Engineering,Chemical Engineering,187,59.38,False,not admitted,"C6, C4, C4, B3, B2"
Law,Common/Civil Law,133,59.62,True,not admitted,"B2, A1, A1, B3, C5"
Scool of Transport,Logistics and Supply Chain Management,213,68.62,False,not admitted,"B2, A1, B2, B3, C5"
Science,Chemistry,281,74.12,True,admitted,"A1, C5, C5, A1, C4"
Environmental Science,Environmental Management,334,77.75,False,not admitted,"B3, B2, C4, C6, C4"
Environmental Science,Industrial Design,137,58.12,True,not admitted,"C5, C4, B2, B2, A1"
College of MEdicine,Medical Laboratory Science,140,55.5,True,not admitted,"C6, B2, B2, B3, C4"
Environmental Science,Architecture,147,49.38,True,not admitted,"C6, C6, B3, C5, C4"
Management Sciences,Accounting,300,77.5,True,admitted,"C4, A1, B3, C5, B2"
Management Sciences,Local Government Development and Administration,337,78.12,True,admitted,"A1, C4, C4, C6, C4"
Communication and Media Studies,Mass Communication,141,61.62,True,not admitted,"A1, C4, A1, C4, A1"
Environmental Science,Quantity Surveying,300,75.5,True,admitted,"C5, B2, A1, C4, C5"
Science,Biochemistry,120,55.0,True,not admitted,"B3, C5, B3, B3, A1"
Agriculture,Crop Production,152,55.0,True,not admitted,"C4, C4, C6, B2, B3"
Scool of Transport,Transport Management and Operations,367,80.88,True,admitted,"C6, C4, A1, B3, C6"
Education,Computer Science Education,184,61.0,False,not admitted,"A1, C6, C5, C4, A1"
College of MEdicine,Pharmacology,123,59.38,True,not admitted,"A1, C4, B3, A1, B2"
Science,Fisheries and Aquatic Biology,267,75.38,True,admitted,"B3, A1, B2, A1, C6"
Science,Physics,280,72.0,False,not admitted,"B2, B2, B3, C5, C6"
Law,Common/Islamic Law,137,57.12,False,not admitted,"C4, A1, C4, C4, B2"
Communication and Media Studies,Mass Communication,174,53.75,False,not admitted,"C5, C6, C5, B3, C4"
Scool of Library Archival and Information Science,Library and information Science,327,75.88,True,admitted,"C4, A1, C4, C6, C5"
Science,Science Laboratory Technology,250,70.25,True,admitted,"B3, B3, A1, C6, B3"
Management Sciences,Taxation,227,70.38,False,not admitted,"A1, C6, B2, B2, B2"
Law,Common/Islamic Law,243,63.38,False,not admitted,"C5, C4, C6, C6, A1"
Education,English Education,182,60.75,True,not admitted,"C5, C4, C4, A1, B3"
Social Sciences,Political Science,373,81.62,True,admitted,"C5, C5, B2, B2, C6"
Scool of Transport,Logistics and Supply Chain Management,132,48.5,True,not admitted,"C6, C6, B3, B3, C5"
Social Sciences,Sociology,333,72.62,False,not admitted,"C5, C6, C6, B2, C5"
Scool of Transport,Transport Management and Operations,360,88.0,True,admitted,"A1, B3, B2, C4, B2"
College of MEdicine,Medical Laboratory Science,238,71.75,True,admitted,"B2, A1, C4, A1, C5"
Law,Common/Islamic Law,364,82.5,False,not admitted,"C6, C4, A1, B3, C4"
Engineering,Civil Engineering,180,57.5,True,not admitted,"C4, C5, C6, C4, A1"
Engineering,Mechanical Engineering,316,83.5,False,not admitted,"B2, B3, A1, B3, B2"
Management Sciences,Accounting,232,61.0,False,not admitted,"B3, C6, B2, C6, C6"
Arts,Peace Studies,269,71.62,False,not admitted,"B3, A1, C5, B2, C6"
Scool of Transport,Logistics and Supply Chain Management,310,70.75,True,admitted,"C5, C5, C6, A1, C6"
Science,Fisheries and Aquatic Biology,277,71.62,False,not admitted,"C5, A1, C6, B3, B3"
Communication and Media Studies,Mass Communication,192,61.0,True,not admitted,"C5, B3, C6, B2, B2"
Environmental Science,Building,311,73.88,True,admitted,"C4, C5, C5, B2, C4"
Scool of Library Archival and Information Science,Library and information Science,167,63.88,True,not admitted,"C4, B2, A1, A1, C4"
Arts,Theatre Arts,313,78.12,False,not admitted,"C4, A1, C5, A1, C5"
Management Sciences,Project Management,391,91.88,True,admitted,"B3, B2, B2, C4, A1"
Science,Chemistry,266,62.25,False,not admitted,"C6, C5, C4, C5, C6"
Law,Common/Civil Law,291,77.38,True,admitted,"B2, B2, C6, B2, B2"
Environmental Science,Urban and Regional Planning,277,66.62,True,admitted,"B3, C5, C4, C5, C6"
Education,Biology Education,313,73.12,False,not admitted,"C5, C4, C4, B3, C5"
Social Sciences,Sociology,294,76.75,True,admitted,"B2, A1, B3, C4, C5"
College of MEdicine,Pharmacology,359,79.88,True,admitted,"C6, B3, C6, C4, A1"
Communication and Media Studies,Mass Communication,135,51.88,True,not admitted,"B2, C4, C5, C6, B3"
Environmental Science,Environmental Management,137,53.12,True,not admitted,"C5, C5, A1, B2, C6"
Management Sciences,Insurance,383,79.88,True,admitted,"C5, C4, C4, C4, C6"
Agriculture,Agricultural Extension & Rural Development,219,68.38,True,admitted,"A1, C5, B2, C5, A1"
Communication and Media Studies,Mass Communication,275,72.38,True,admitted,"A1, C5, C5, B2, C4"
Scool of Transport,Logistics and Supply Chain Management,264,69.0,True,admitted,"B3, C4, C4, B2, C6"
Scool of Transport,Transport Management and Operations,304,67.0,True,admitted,"C6, C5, C4, C5, C6"
Management Sciences,Marketing,279,81.88,False,not admitted,"B2, A1, A1, B2, B2"
Management Sciences,Industrial Relations and Human Resouce Management,163,51.38,True,not admitted,"C4, C5, C4, C5, C6"
College of MEdicine,Radiography & Radiation Science,383,84.88,True,admitted,"C6, C4, B2, B3, B3"
Management Sciences,Banking and Finance,139,51.38,True,not admitted,"B2, C5, B2, C6, C6"
Scool of Library Archival and Information Science,Library and information Science,310,74.75,True,admitted,"C5, B3, B2, C4, C5"
Agriculture,Animal Science,270,64.75,True,admitted,"C5, C5, C6, C5, B3"
Education,Guidance & Counselling,229,68.62,True,admitted,"C4, C5, A1, C4, A1"
Arts,Theatre Arts,135,51.88,False,not admitted,"C6, C6, C4, B3, A1"
Science,Zoology,141,56.62,False,not admitted,"C4, C5, B2, A1, C4"
Law,Common/Civil Law,400,91.0,False,not admitted,"B3, B2, A1, C6, B2"
Science,Botany,199,56.88,True,admitted,"C6, C6, C4, A1, C6"
Science,Mathematics,176,66.0,True,not admitted,"B3, A1, A1, A1, C5"
College of MEdicine,Pharmacology,179,57.38,False,not admitted,"B3, C4, A1, C6, C6"
Environmental Science,Estate Management,196,60.5,True,admitted,"C4, B3, A1, C5, C6"
Science,Physics,174,52.75,False,not admitted,"C5, C6, B3, C5, C5"
Law,Common/Islamic Law,167,61.88,True,not admitted,"C4, A1, B3, C4, B2"
Scool of Transport,Transport Management and Operations,234,69.25,False,not admitted,"C4, B3, B3, A1, C4"
Agriculture,Agricultural Economics,200,65.0,True,admitted,"B2, C5, A1, A1, C6"
Arts,Islamic Studies,349,79.62,False,not admitted,"C6, C5, C5, B2, A1"
Communication and Media Studies,Mass Communication,398,86.75,True,admitted,"C4, B2, C6, A1, C5"
College of MEdicine,Medicine & Surgery,224,68.0,True,admitted,"B2, B3, C5, B3, B2"
College of MEdicine,Dentistry,317,86.62,True,admitted,"B2, B2, B2, A1, A1"
Science,Physics,155,57.38,False,not admitted,"A1, B3, C5, B3, C5"
Agriculture,Agricultural Economics,221,64.62,True,admitted,"B2, C4, C6, C4, B2"
Engineering,Aeronautical and Astronautical Engineering,378,83.25,True,admitted,"C6, B2, B3, C6, B2"
Science,Physics,189,63.62,True,not admitted,"B3, A1, B3, C4, C4"
Management Sciences,Local Government Development and Administration,229,65.62,False,not admitted,"C5, C5, A1, B2, C5"
Scool of Transport,Logistics and Supply Chain Management,336,80.0,True,admitted,"C4, B2, B2, B3, C6"
Communication and Media Studies,Mass Communication,272,67.0,True,admitted,"C4, C4, C5, C6, B3"
Engineering,Mechanical Engineering,378,76.25,True,admitted,"C4, C6, C6, C6, C4"
Environmental Science,Industrial Design,262,74.75,False,not admitted,"C4, A1, A1, C6, A1"
College of MEdicine,Nursing,135,54.88,True,not admitted,"C4, C6, B2, B2, B3"
Law,Common/Islamic Law,153,59.12,False,not admitted,"C5, B3, A1, A1, C5"
Engineering,Civil Engineering,384,87.0,True,admitted,"C5, C4, A1, C5, A1"
Communication and Media Studies,Mass Communication,267,73.38,True,admitted,"B2, C4, B2, C4, B3"
Scool of Library Archival and Information Science,Library and information Science,316,79.5,True,admitted,"B3, B2, B2, C5, B3"
Management Sciences,Taxation,272,77.0,True,admitted,"C5, A1, B3, B2, A1"
Management Sciences,Project Management,134,55.75,True,not admitted,"C5, A1, C6, A1, B3"
Communication and Media Studies,Mass Communication,240,70.0,False,not admitted,"B3, A1, C4, B2, C5"
Law,Common/Civil Law,155,56.38,False,not admitted,"C4, C6, A1, C6, A1"
Law,Common/Civil Law,209,62.12,False,not admitted,"A1, B3, C6, C6, B3"
Communication and Media Studies,Mass Communication,395,86.38,True,admitted,"C5, C4, C5, A1, B3"
Engineering,Civil Engineering,139,57.38,True,not admitted,"B3, B2, A1, B3, C6"
Communication and Media Studies,Mass Communication,196,55.5,True,admitted,"C6, C4, C5, C5, C4"
Scool of Transport,Transport Management and Operations,130,52.25,True,not admitted,"B2, C6, B2, C4, C5"
College of MEdicine,Physiology,170,60.25,False,not admitted,"B2, A1, B2, C5, C6"
Agriculture,Agricultural Extension & Rural Development,160,52.0,False,not admitted,"B3, C5, C5, C6, C4"
Management Sciences,Accounting,390,86.75,False,not admitted,"C5, B2, B3, B3, C4"
Education,Geography Education,259,72.38,False,not admitted,"B3, C6, B2, B3, A1"
Social Sciences,Sociology,191,60.88,False,not admitted,"B3, C5, C5, C4, A1"
Environmental Science,Estate Management,391,89.88,False,not admitted,"C4, B2, A1, B3, C4"
Arts,French,129,53.12,False,not admitted,"C4, C5, B3, B3, B3"
Environmental Science,Environmental Management,373,82.62,True,admitted,"C4, B2, C6, C4, B3"
Law,Common/Islamic Law,378,84.25,False,not admitted,"B2, B3, A1, C6, C6"
Management Sciences,Accounting,188,67.5,True,not admitted,"A1, B3, B3, B3, A1"
Engineering,Chemical Engineering,400,91.0,True,admitted,"B2, C5, B2, B3, B2"
Law,Common/Islamic Law,351,81.88,False,not admitted,"C4, C4, B2, B3, C4"
Management Sciences,Public Administration,311,74.88,True,admitted,"C5, B3, C4, C6, A1"
Engineering,Civil Engineering,236,63.5,False,not admitted,"C6, C4, C4, C6, A1"
Social Sciences,Sociology,181,63.62,True,not admitted,"B3, C5, B3, B2, A1"
Communication and Media Studies,Mass Communication,195,66.38,True,admitted,"A1, C5, C4, A1, B2"
Arts,Yoruba,160,56.0,False,not admitted,"C5, B2, C6, A1, C5"
College of MEdicine,Radiography & Radiation Science,330,75.25,True,admitted,"C6, C6, B2, B3, C4"
College of MEdicine,Medical Laboratory Science,300,74.5,True,admitted,"C5, C4, C5, A1, B3"
Social Sciences,Political Science,178,59.25,False,not admitted,"B3, B3, C4, C5, B3"
Agriculture,Agricultural Economics,269,70.62,True,admitted,"C4, C6, C5, B2, A1"
Agriculture,Crop Production,296,82.0,False,not admitted,"B3, A1, A1, C4, A1"
Science,Science Laboratory Technology,327,78.88,False,not admitted,"C4, B3, C4, C5, A1"
College of MEdicine,Nursing,367,85.88,True,admitted,"C6, B3, B2, B2, B2"
