Faculty,Department,UTME_Score,Screening_Score,Olevel_Valid,olevel_avg_points,admitted_numeric
Science,Geology,324,74.6,0,5.2,0
Agricultural Science,Fisheries and Aquaculture Management,298,78.7,1,6.8,1
Management Sciences,Accounting,257,69.55,1,6.2,1
Engineering,Electrical/Electronic Engineering,361,72.15,0,3.6,0
Arts,Islamic Religious Studies/Arabic,165,41.75,0,3.4,0
Management Sciences,Industrial Relations and Personnel Management,230,68.5,1,6.8,1
Social Sciences,Environmental Management,286,70.9,1,5.6,1
Science,Zoology,268,60.2,0,4.0,0
Social Sciences,Economics,204,45.6,0,3.0,0
Law,Law,150,47.5,0,5.0,0
Education,Geography Education,252,64.8,0,5.4,0
Management Sciences,Business Administration,228,56.2,0,4.4,0
Education,Yoruba Education,242,63.3,1,5.4,1
Medicine,Anatomy,318,81.7,1,6.8,1
Science,Zoology,232,62.8,1,5.6,1
Engineering,Electrical/Electronic Engineering,350,77.5,1,5.0,1
Engineering,Mechanical Engineering,288,64.2,0,4.2,0
Arts,English & Literary Studies,309,74.35,0,5.6,0
Social Sciences,Environmental Management,244,58.6,0,4.4,0
Science,Science Laboratory Technology,177,59.55,1,6.6,1
Management Sciences,Banking and Finance,230,67.5,1,6.6,1
Education,"Test, Measurement and Evaluation",313,71.95,0,5.0,0
Agricultural Science,Agricultural Economics and Extension Services,250,60.5,1,4.6,1
Education,Human Kinetics/Physical & Health Education,154,49.1,0,5.2,0
Management Sciences,Marketing,340,71.0,0,4.0,0
Medicine,Physiology,141,49.15,1,5.6,0
Education,Economics Education,180,53.0,0,5.2,0
Agricultural Science,Agricultural Economics and Extension Services,219,64.85,0,6.4,0
Agricultural Science,Forestry Resources and Wildlife Management,257,54.55,0,3.2,0
Law,Law,266,63.9,1,4.8,1
Social Sciences,Economics,231,58.65,1,4.8,1
Law,Law,300,64.0,0,3.8,0
Education,Social Studies,196,53.4,1,4.8,1
Engineering,Computer Engineering,205,54.75,0,4.8,0
Arts,Philosophy,184,61.6,1,6.8,1
Law,Law,347,73.05,0,4.2,0
Medicine,Medicine and Surgery,290,71.5,1,5.6,1
Social Sciences,Economics,289,69.35,0,5.2,0
Management Sciences,Actuarial Science,358,77.7,1,4.8,1
Science,Plant Sciences and Biotechnology,140,46.0,0,5.0,0
Science,Computer Science,323,65.45,0,3.4,0
Education,Library and Information Science,344,73.6,0,4.4,0
Social Sciences,Geography and Planning Science,207,60.05,0,5.8,0
Law,Law,342,74.3,0,4.6,0
Agricultural Science,Animal Production & Health Sciences,182,60.3,1,6.6,1
Agricultural Science,Animal Production & Health Sciences,147,43.05,0,4.2,0
Arts,Islamic Religious Studies/Arabic,197,55.55,1,5.2,1
Social Sciences,Tourism Studies,141,42.15,0,4.2,0
Management Sciences,Marketing,215,63.25,0,6.2,0
Law,Law,297,66.55,0,4.4,0
Medicine,Nursing,283,76.45,1,6.8,1
Law,Law,287,67.05,0,4.8,0
Medicine,Medicine and Surgery,336,69.4,1,3.8,1
Agricultural Science,Fisheries and Aquaculture Management,272,65.8,1,5.0,1
Science,Statistics,263,55.45,0,3.2,0
Arts,Philosophy,376,84.4,1,5.6,1
Medicine,Medicine and Surgery,319,74.85,0,5.4,0
Medicine,Medicine and Surgery,370,72.5,0,3.4,0
Social Sciences,Psychology,319,65.85,0,3.6,0
Medicine,Medicine and Surgery,146,46.9,1,5.0,0
Agricultural Science,Soil Resources and Environmental Management,387,88.05,0,6.0,0
Law,Law,370,73.5,0,3.6,0
Science,Biochemistry,140,40.0,0,3.8,0
Medicine,Medicine and Surgery,196,61.4,1,6.4,1
Education,Human Kinetics/Physical & Health Education,387,84.05,1,5.2,1
Science,Microbiology,152,45.8,1,4.6,0
Management Sciences,Industrial Relations and Personnel Management,209,57.35,1,5.2,1
Agricultural Science,Agricultural Economics and Extension Services,394,83.1,1,4.8,1
Agricultural Science,Forestry Resources and Wildlife Management,150,50.5,1,5.6,1
Engineering,Mechanical Engineering,164,46.6,0,4.4,0
Education,Yoruba Education,308,73.2,0,5.4,0
Arts,Linguistics & Nigerian Languages,164,44.6,0,4.0,0
Medicine,Nursing,316,73.4,0,5.2,0
Agricultural Science,Agricultural Economics and Extension Services,141,44.15,0,4.6,0
Education,Basic/Integrated Science Education,335,81.25,1,6.2,1
Law,Law,335,71.25,0,4.2,0
Engineering,Mechanical Engineering,256,65.4,0,5.4,0
Law,Law,337,78.55,0,5.6,0
Education,Business Education - Marketing,324,68.6,0,4.0,0
Education,Social Studies,295,58.25,0,2.8,0
Medicine,Nursing,162,55.3,1,6.2,1
Social Sciences,Psychology,182,47.3,0,4.0,0
Arts,Theatre and Media Arts,347,70.05,0,3.6,0
Education,Basic/Integrated Science Education,160,47.0,1,4.6,0
Arts,Christian Religious Studies,261,67.15,1,5.6,1
Medicine,Medicine and Surgery,298,69.7,1,5.0,1
Medicine,Medicine and Surgery,175,48.25,0,4.4,0
Law,Law,305,69.75,1,4.8,1
Science,Chemistry,220,57.0,0,4.8,0
Social Sciences,Tourism Studies,381,88.15,1,6.2,1
Engineering,Civil Engineering,157,47.55,1,4.8,0
Medicine,Medicine and Surgery,151,47.65,0,5.0,0
Medicine,Physiology,215,60.25,0,5.6,0
Education,Mechanical Technology,246,55.9,1,3.8,1
Education,Political Science Education,146,50.9,1,5.8,1
Social Sciences,Tourism Studies,320,69.0,0,4.2,0
Engineering,Civil Engineering,209,56.35,1,5.0,1
Engineering,Computer Engineering,349,75.35,0,4.6,0
Engineering,Civil Engineering,370,79.5,0,4.8,0
Medicine,Medicine and Surgery,173,49.95,1,4.8,0
Medicine,Medicine and Surgery,221,61.15,1,5.6,1
Medicine,Medicine and Surgery,343,69.45,0,3.6,0
Law,Law,245,61.75,1,5.0,1
Law,Law,293,79.95,1,7.2,1
Social Sciences,Geography and Planning Science,312,76.8,1,6.0,1
Science,Geology,193,51.95,0,4.6,0
Education,Health Education,248,65.2,1,5.6,1
Arts,Philosophy,285,74.75,1,6.4,1
Social Sciences,Geography and Planning Science,371,85.65,1,6.0,1
Science,Geo-Physics,198,50.7,0,4.2,0
Engineering,Civil Engineering,162,48.3,1,4.8,0
Management Sciences,Accounting,290,66.5,0,4.6,0
Management Sciences,Actuarial Science,268,63.2,0,4.6,0
Engineering,Civil Engineering,161,51.15,0,5.4,0
Medicine,Nursing,356,80.4,0,5.4,0
Medicine,Anatomy,331,76.65,1,5.4,1
Science,Geology,307,79.05,0,6.6,0
Arts,Yoruba,367,72.05,0,3.4,0
Social Sciences,Tourism Studies,249,61.35,0,4.8,0
Law,Law,253,60.95,1,4.6,1
Social Sciences,Tourism Studies,257,56.55,0,3.6,0
Social Sciences,Sociology,345,70.75,0,3.8,0
Engineering,Mechanical Engineering,365,86.75,1,6.4,1
Agricultural Science,Fisheries and Aquaculture Management,336,70.4,0,4.0,0
Arts,Christian Religious Studies,207,54.05,0,4.6,0
Engineering,Mechanical Engineering,284,60.6,1,3.6,1
Social Sciences,Sociology,373,80.95,0,5.0,0
Management Sciences,Accounting,240,60.0,0,4.8,0
Science,Physics,379,81.85,0,5.0,0
Arts,Christian Religious Studies,226,59.9,0,5.2,0
Engineering,Computer Engineering,230,53.5,0,3.8,0
Management Sciences,Insurance,308,72.2,1,5.2,1
Medicine,Medicine and Surgery,316,75.4,0,5.6,0
Education,Social Studies,305,76.75,1,6.2,1
Medicine,Anatomy,288,63.2,0,4.0,0
Agricultural Science,Forestry Resources and Wildlife Management,312,73.8,0,5.4,0
Law,Law,314,69.1,0,4.4,0
Medicine,Medicine and Surgery,300,76.0,0,6.2,0
Arts,Theatre and Media Arts,157,43.55,0,4.0,0
Arts,Islamic Religious Studies/Arabic,218,67.7,1,7.0,1
Law,Law,362,78.3,1,4.8,1
Engineering,Computer Engineering,214,54.1,0,4.4,0
Medicine,Medicine and Surgery,299,60.85,0,3.2,0
Science,Mathematics,261,57.15,0,3.6,0
Arts,Theatre and Media Arts,181,51.15,0,4.8,0
Science,Industrial Chemistry,166,38.9,0,2.8,0
Science,Physics,234,58.1,1,4.6,1
Engineering,Mechanical Engineering,307,70.05,1,4.8,1
Engineering,Civil Engineering,150,44.5,0,4.4,0
Management Sciences,Business Administration,398,85.7,1,5.2,1
Science,Statistics,288,65.2,1,4.4,1
Science,Chemistry,350,82.5,1,6.0,1
Law,Law,210,62.5,1,6.2,1
Social Sciences,Political Science,155,39.25,0,3.2,0
Arts,Islamic Religious Studies/Arabic,341,86.15,1,7.0,1
Education,Guidance and Counselling,197,49.55,0,4.0,0
Engineering,Computer Engineering,255,70.25,1,6.4,1
Agricultural Science,Agricultural Economics and Extension Services,338,73.7,0,4.6,0
Medicine,Physiology,229,66.35,1,6.4,1
Education,Electrical/Electronic Technology,299,74.85,1,6.0,1
Engineering,Civil Engineering,173,57.95,1,6.4,1
Arts,Philosophy,376,80.4,0,4.8,0
Arts,French,185,52.75,0,5.0,0
Agricultural Science,Agricultural Economics and Extension Services,201,59.15,1,5.8,1
Medicine,Nursing,400,89.0,1,5.8,1
Management Sciences,Accounting,321,77.15,1,5.8,1
Engineering,Electrical/Electronic Engineering,155,47.25,0,4.8,0
Education,English Education,245,56.75,0,4.0,0
Social Sciences,Political Science,297,65.55,0,4.2,0
Medicine,Anatomy,234,61.1,0,5.2,0
Education,Nursery & Primary/Early Childhood Education,380,74.0,0,3.4,0
Law,Law,376,86.4,1,6.0,1
Education,Basic/Integrated Science Education,221,65.15,1,6.4,1
Law,Law,191,60.65,1,6.4,1
Law,Law,348,73.2,0,4.2,0
Science,Geo-Physics,198,55.7,1,5.2,1
Education,Business Education - Office Management,297,69.55,1,5.0,1
Education,Chemistry Education,339,75.85,0,5.0,0
Medicine,Medicine and Surgery,400,89.0,1,5.8,1
Medicine,Medicine and Surgery,330,71.5,0,4.4,0
Law,Law,148,40.2,0,3.6,0
Engineering,Computer Engineering,206,54.9,1,4.8,1
Agricultural Science,Fisheries and Aquaculture Management,244,54.6,0,3.6,0
Management Sciences,Cooperative Studies,164,56.6,1,6.4,1
Management Sciences,Entrepreneurship,372,82.8,0,5.4,0
Social Sciences,Sociology,302,77.3,0,6.4,0
Law,Law,337,65.55,0,3.0,0
Medicine,Physiology,386,83.9,0,5.2,0
Education,Human Kinetics/Physical & Health Education,185,51.75,1,4.8,1
Arts,French,328,71.2,1,4.4,1
Medicine,Anatomy,307,71.05,0,5.0,0
Education,Nursery & Primary/Early Childhood Education,370,87.5,1,6.4,1
Law,Law,232,62.8,1,5.6,1
Medicine,Medicine and Surgery,153,51.95,0,5.8,0
Science,Physics,287,74.05,1,6.2,1
Social Sciences,Psychology,211,55.65,0,4.8,0
Engineering,Mechanical Engineering,145,43.75,0,4.4,0
Agricultural Science,"Crop, Horticulture and Landscape Design",368,79.2,0,4.8,0
Management Sciences,Cooperative Studies,152,44.8,0,4.4,0
Arts,Religious Studies,152,41.8,0,3.8,0
Management Sciences,Actuarial Science,360,74.0,0,4.0,0
Social Sciences,Economics,236,65.4,1,6.0,1
Science,Microbiology,399,77.85,0,3.6,0
Social Sciences,Psychology,302,70.3,1,5.0,1
Education,English Education,228,56.2,1,4.4,1
Law,Law,399,88.85,1,5.8,1
Arts,English & Literary Studies,202,62.3,1,6.4,1
Education,"Test, Measurement and Evaluation",173,51.95,0,5.2,0
Science,Microbiology,391,83.65,0,5.0,0
Science,Zoology,216,59.4,1,5.4,1
Arts,Islamic Religious Studies/Arabic,368,78.2,0,4.6,0
Agricultural Science,Fisheries and Aquaculture Management,248,59.2,0,4.4,0
Arts,French,380,89.0,1,6.4,1
Education,"Test, Measurement and Evaluation",329,74.35,0,5.0,0
Arts,Christian Religious Studies,172,51.8,1,5.2,1
Agricultural Science,Soil Resources and Environmental Management,313,74.95,1,5.6,1
Science,Industrial Chemistry,356,72.4,0,3.8,0
Law,Law,331,74.65,1,5.0,1
Arts,Yoruba,162,49.3,1,5.0,0
Agricultural Science,Agricultural Economics and Extension Services,184,49.6,1,4.4,0
Education,Agricultural Education,221,59.15,1,5.2,1
Science,Mathematics,205,59.75,0,5.8,0
Agricultural Science,Fisheries and Aquaculture Management,187,55.05,0,5.4,0
Social Sciences,Economics,151,44.65,0,4.4,0
Engineering,Civil Engineering,294,70.1,0,5.2,0
Law,Law,362,70.3,0,3.2,0
Social Sciences,Sociology,167,52.05,1,5.4,1
Arts,Philosophy,308,67.2,0,4.2,0
Arts,Religious Studies,371,82.65,1,5.4,1
Engineering,Mechanical Engineering,312,76.8,1,6.0,1
Medicine,Nursing,333,68.95,0,3.8,0
Education,Chemistry Education,359,76.85,0,4.6,0
Agricultural Science,Animal Production & Health Sciences,222,60.3,1,5.4,1
Law,Law,277,65.55,0,4.8,0
Engineering,Mechanical Engineering,333,73.95,0,4.8,0
Management Sciences,Accounting,380,83.0,0,5.2,0
Education,Political Science Education,186,60.9,1,6.6,1
Education,Chemistry Education,306,71.9,1,5.2,1
Arts,Yoruba,204,54.6,0,4.8,0
Science,Zoology,271,71.65,0,6.2,0
Education,Agricultural Education,304,71.6,1,5.2,1
Medicine,Physiology,248,58.2,0,4.2,0
Agricultural Science,Fisheries and Aquaculture Management,325,74.75,0,5.2,0
Social Sciences,Geography and Planning Science,264,74.6,1,7.0,1
Arts,Philosophy,356,75.4,1,4.4,1
Social Sciences,Political Science,327,76.05,1,5.4,1
Medicine,Nursing,200,58.0,1,5.6,1
Engineering,Civil Engineering,266,62.9,0,4.6,0
Education,Political Science Education,169,56.35,1,6.2,1
Science,Zoology,220,56.0,0,4.6,0
Arts,Theatre and Media Arts,300,75.0,0,6.0,0
Law,Law,280,66.0,0,4.8,0
Science,Mathematics,293,70.95,0,5.4,0
Science,Computer Science,376,82.4,1,5.2,1
Law,Law,349,77.35,1,5.0,1
Agricultural Science,Soil Resources and Environmental Management,299,67.85,1,4.6,1
Agricultural Science,"Crop, Horticulture and Landscape Design",227,58.05,1,4.8,1
Medicine,Nursing,260,63.0,1,4.8,1
Management Sciences,Actuarial Science,150,41.5,1,3.8,0
Education,Business Education - Marketing,188,62.2,1,6.8,1
Education,Education Arabic Studies,301,75.15,1,6.0,1
Law,Law,188,54.2,0,5.2,0
Education,Basic/Integrated Science Education,144,50.6,1,5.8,1
Science,Computer Science,256,63.4,0,5.0,0
Agricultural Science,Fisheries and Aquaculture Management,242,67.3,1,6.2,1
Management Sciences,Industrial Relations and Personnel Management,167,50.05,0,5.0,0
Education,Yoruba Education,207,67.05,1,7.2,1
Engineering,Computer Engineering,318,75.7,0,5.6,0
Social Sciences,Sociology,241,60.15,1,4.8,1
Science,Statistics,207,52.05,0,4.2,0
Education,Chemistry Education,388,77.2,0,3.8,0
Agricultural Science,Animal Production & Health Sciences,293,68.95,0,5.0,0
Engineering,Electrical/Electronic Engineering,202,51.3,0,4.2,0
Social Sciences,Economics,340,81.0,1,6.0,1
Law,Law,178,49.7,1,4.6,0
Law,Law,298,66.7,0,4.4,0
Agricultural Science,Forestry Resources and Wildlife Management,400,85.0,0,5.0,0
Engineering,Mechanical Engineering,191,47.65,0,3.8,0
Education,Business Education - Office Management,257,64.55,1,5.2,1
Social Sciences,Environmental Management,243,57.45,0,4.2,0
Engineering,Civil Engineering,337,75.55,0,5.0,0
Social Sciences,Tourism Studies,168,49.2,0,4.8,0
Medicine,Physiology,267,68.05,1,5.6,1
Management Sciences,Insurance,346,80.9,0,5.8,0
Science,Computer Science,288,65.2,0,4.4,0
Education,"Test, Measurement and Evaluation",347,75.05,0,4.6,0
Management Sciences,Cooperative Studies,196,53.4,0,4.8,0
Science,Biochemistry,389,72.35,0,2.8,0
Science,Science Laboratory Technology,280,63.0,0,4.2,0
Social Sciences,Political Science,375,82.25,1,5.2,1
Arts,English & Literary Studies,381,87.15,1,6.0,1
Science,Plant Sciences and Biotechnology,302,72.3,1,5.4,1
Arts,Religious Studies,214,60.1,1,5.6,1
Management Sciences,Industrial Relations and Personnel Management,309,75.35,1,5.8,1
Agricultural Science,Agricultural Economics and Extension Services,235,60.25,0,5.0,0
Engineering,Civil Engineering,163,46.45,1,4.4,0
Law,Law,243,61.45,1,5.0,1
Agricultural Science,Forestry Resources and Wildlife Management,173,46.95,1,4.2,0
Arts,French,395,89.25,1,6.0,1
Agricultural Science,Animal Production & Health Sciences,341,74.15,0,4.6,0
Engineering,Civil Engineering,385,88.75,1,6.2,1
Education,Yoruba Education,158,41.7,0,3.6,0
Science,Geo-Physics,343,66.45,0,3.0,0
Engineering,Computer Engineering,356,75.4,0,4.4,0
Education,Yoruba Education,203,50.45,0,4.0,0
Science,Mathematics,188,43.2,0,3.0,0
Engineering,Civil Engineering,327,73.05,0,4.8,0
Social Sciences,Political Science,164,58.6,1,6.8,1
Law,Law,305,63.75,0,3.6,0
Education,Educational Technology,375,84.25,1,5.6,1
Law,Law,327,78.05,0,5.8,0
Social Sciences,Environmental Management,149,53.35,0,6.2,0
Management Sciences,Business Administration,331,76.65,1,5.4,1
Management Sciences,Actuarial Science,377,84.55,0,5.6,0
Education,Library and Information Science,187,51.05,0,4.6,0
Agricultural Science,Agricultural Economics and Extension Services,376,70.4,0,2.8,0
Arts,Islamic Religious Studies/Arabic,283,67.45,0,5.0,0
Management Sciences,Insurance,242,62.3,0,5.2,0
Engineering,Mechanical Engineering,393,75.95,0,3.4,0
Science,Geo-Physics,179,53.85,1,5.4,1
Engineering,Computer Engineering,175,38.25,0,2.4,0
Engineering,Civil Engineering,216,57.4,1,5.0,1
Education,Library and Information Science,353,75.95,0,4.6,0
Social Sciences,Geography and Planning Science,162,56.3,1,6.4,1
Management Sciences,Banking and Finance,397,86.55,0,5.4,0
Management Sciences,Insurance,320,70.0,0,4.4,0
Engineering,Civil Engineering,250,62.5,0,5.0,0
Agricultural Science,Forestry Resources and Wildlife Management,372,82.8,0,5.4,0
Education,Business Education - Accounting,181,57.15,1,6.0,1
Education,Business Education - Office Management,201,59.15,1,5.8,1
Education,Business Education - Marketing,184,49.6,0,4.4,0
Education,Political Science Education,400,87.0,0,5.4,0
Science,Plant Sciences and Biotechnology,280,60.0,0,3.6,0
Education,Nursery & Primary/Early Childhood Education,349,72.35,0,4.0,0
Engineering,Electrical/Electronic Engineering,381,81.15,0,4.8,0
Law,Law,265,71.75,1,6.4,1
Social Sciences,Economics,217,63.55,1,6.2,1
Law,Law,249,65.35,1,5.6,1
Social Sciences,Environmental Management,278,62.7,0,4.2,0
Agricultural Science,Agricultural Economics and Extension Services,201,57.15,0,5.4,0
Management Sciences,Business Administration,203,51.45,1,4.2,1
Management Sciences,Insurance,286,76.9,1,6.8,1
Agricultural Science,Agricultural Economics and Extension Services,358,65.7,0,2.4,0
Arts,History & International Studies,263,64.45,0,5.0,0
Education,Education Arabic Studies,340,77.0,1,5.2,1
Science,Mathematics,379,78.85,0,4.4,0
Agricultural Science,Agricultural Economics and Extension Services,172,47.8,0,4.4,0
Arts,Philosophy,150,52.5,0,6.0,0
Medicine,Medicine and Surgery,360,69.0,1,3.0,1
Engineering,Mechanical Engineering,375,81.25,1,5.0,1
Arts,Linguistics & Nigerian Languages,359,75.85,1,4.4,1
Engineering,Civil Engineering,173,48.95,1,4.6,0
Science,Physics,344,80.6,0,5.8,0
Arts,Theatre and Media Arts,338,82.7,1,6.4,1
Arts,Religious Studies,282,64.3,0,4.4,0
Engineering,Mechanical Engineering,279,70.85,1,5.8,1
Management Sciences,Banking and Finance,154,49.1,1,5.2,0
Management Sciences,Entrepreneurship,172,56.8,1,6.2,1
Agricultural Science,Soil Resources and Environmental Management,162,52.3,0,5.6,0
Education,Physics Education,219,61.85,1,5.8,1
Social Sciences,Sociology,168,48.2,1,4.6,0
Science,Statistics,201,53.15,0,4.6,0
Medicine,Nursing,307,65.05,0,3.8,0
Medicine,Anatomy,178,52.7,0,5.2,0
Engineering,Civil Engineering,290,69.5,1,5.2,1
Education,Education Arabic Studies,229,62.35,0,5.6,0
Engineering,Computer Engineering,221,59.15,1,5.2,1
Science,Chemistry,379,85.85,1,5.8,1
Medicine,Nursing,154,38.1,0,3.0,0
Management Sciences,Banking and Finance,363,86.45,0,6.4,0
Law,Law,167,38.05,0,2.6,0
Education,Adult Education,230,49.5,0,3.0,0
Law,Law,234,62.1,0,5.4,0
Education,Education Christian Religious Studies,218,58.7,0,5.2,0
Management Sciences,Actuarial Science,299,67.85,0,4.6,0
Social Sciences,Political Science,365,81.75,0,5.4,0
Medicine,Nursing,316,72.4,0,5.0,0
Medicine,Nursing,225,50.75,0,3.4,0
Agricultural Science,Animal Production & Health Sciences,247,57.05,0,4.0,0
Engineering,Mechanical Engineering,282,63.3,0,4.2,0
Agricultural Science,Soil Resources and Environmental Management,384,81.6,0,4.8,0
Engineering,Mechanical Engineering,342,71.3,0,4.0,0
Science,Industrial Chemistry,222,59.3,0,5.2,0
Engineering,Mechanical Engineering,179,51.85,0,5.0,0
Law,Law,190,53.5,1,5.0,1
Engineering,Civil Engineering,360,85.0,1,6.2,1
Science,Statistics,186,54.9,0,5.4,0
Agricultural Science,Soil Resources and Environmental Management,310,78.5,1,6.4,1
Education,Social Studies,370,77.5,1,4.4,1
Law,Law,227,49.05,0,3.0,0
Social Sciences,Psychology,194,47.1,0,3.6,0
Science,Zoology,334,73.1,1,4.6,1
Law,Law,392,85.8,1,5.4,1
Arts,Philosophy,283,69.45,0,5.4,0
Agricultural Science,Fisheries and Aquaculture Management,387,86.05,1,5.6,1
Agricultural Science,"Crop, Horticulture and Landscape Design",183,55.45,1,5.6,1
Management Sciences,Entrepreneurship,360,84.0,0,6.0,0
Agricultural Science,Soil Resources and Environmental Management,354,80.1,1,5.4,1
Social Sciences,Sociology,360,82.0,0,5.6,0
Social Sciences,Geography and Planning Science,174,58.1,1,6.4,1
Arts,Islamic Religious Studies/Arabic,248,60.2,0,4.6,0
Science,Industrial Chemistry,370,80.5,0,5.0,0
Science,Physics,219,53.85,0,4.2,0
Engineering,Mechanical Engineering,251,68.65,1,6.2,1
Science,Chemistry,242,72.3,1,7.2,1
Engineering,Mechanical Engineering,298,62.7,0,3.6,0
Management Sciences,Cooperative Studies,153,55.95,1,6.6,1
Science,Chemistry,309,73.35,1,5.4,1
Education,Building and Woodwork Technology,230,59.5,0,5.0,0
Engineering,Mechanical Engineering,275,70.25,1,5.8,1
Engineering,Computer Engineering,381,82.15,1,5.0,1
Medicine,Physiology,278,65.7,1,4.8,1
Medicine,Nursing,193,46.95,0,3.6,0
Agricultural Science,"Crop, Horticulture and Landscape Design",218,62.7,1,6.0,1
Arts,Religious Studies,319,78.85,1,6.2,1
Education,Educational Management,157,46.55,1,4.6,0
Medicine,Medicine and Surgery,398,85.7,1,5.2,1
Management Sciences,Cooperative Studies,262,62.3,0,4.6,0
Education,Basic/Integrated Science Education,256,66.4,1,5.6,1
Medicine,Medicine and Surgery,227,47.05,0,2.6,0
Management Sciences,Banking and Finance,320,69.0,1,4.2,1
Medicine,Anatomy,264,58.6,1,3.8,1
Management Sciences,Marketing,273,67.95,1,5.4,1
Law,Law,271,69.65,1,5.8,1
Engineering,Electrical/Electronic Engineering,357,71.55,0,3.6,0
