Faculty,Department,UTME_Score,Olevel_Grades,Post_UTME_Score,Aggregate,Cutoff,Admission_Status
Education,Education Geography,340,"B2, C4, A1, B3, B3",0,59.3,50.0,not admitted
Environmental Sciences,Quantity Surveying,253,"A1, C4, B2, C6, C4",2,48.83,50.0,not admitted
Law,Law,285,"C4, C4, C6, A1, A1",3,54.23,68.65,not admitted
Basic Medical Sciences,Physiology,384,"B3, C6, C5, C6, B2",26,87.2,71.55,admitted
Law,Law,316,"C4, C4, C5, C5, A1",16,69.9,68.65,admitted
Law,Law,250,"C5, C6, B2, C5, C5",13,57.05,68.65,considered
Environmental Sciences,Estate Management,334,"C4, A1, C6, C6, B3",3,58.75,50.0,not admitted
Science,Marine Biology,232,"C4, A1, C4, A1, B2",22,68.2,50.0,admitted
Engineering,Metallurgical & Material Engineering,233,"C5, B2, B3, C5, C6",2,44.73,50.0,not admitted
Law,Law,224,"C6, C6, C4, C5, B2",17,57.8,68.65,considered
Social Sciences,Mass Communication,258,"B2, C4, C6, C4, C5",8,53.85,72.35,not admitted
Basic Medical Sciences,Pharmacology,202,"A1, B3, C6, B2, C4",6,46.85,72.625,not admitted
Dental Sciences,Dentistry,364,"B2, C6, A1, C6, A1",12,73.1,77.4,considered
Social Sciences,Psychology,215,"B2, B2, C4, A1, B3",20,64.08,67.4,considered
Basic Medical Sciences,Physiology,217,"B3, B2, C5, C5, C6",7,47.73,71.55,not admitted
Basic Medical Sciences,Pharmacology,348,"C6, B2, C4, C5, C5",19,75.7,72.625,admitted
Science,Geophysics,368,"C4, C4, B2, C4, A1",16,78.0,50.0,admitted
Science,Geology,262,"B3, A1, C5, C5, C6",1,47.75,50.0,not admitted
Pharmacy,Pharmacy,300,"C4, A1, C5, C4, B2",10,63.1,76.125,not admitted
Law,Law,245,"C5, C5, B2, C5, C5",30,73.83,68.65,admitted
Pharmacy,Pharmacy,294,"C5, C6, B2, C4, C5",23,72.95,76.125,considered
Environmental Sciences,Urban & Regional Planning,336,"B2, B3, B2, B2, C4",9,67.8,50.0,not admitted
Dental Sciences,Dentistry,226,"C6, C5, C5, B2, B3",0,41.85,77.4,not admitted
Engineering,Mechanical Engineering,320,"C6, C6, A1, B2, C6",3,56.6,50.0,not admitted
Social Sciences,Social Work,241,"C4, B3, C5, C5, C6",11,53.92,50.0,not admitted
Basic Medical Sciences,Physiology,284,"B3, C4, C6, C5, C5",23,71.3,71.55,considered
Engineering,Biomedical Engineering,272,"C6, C5, A1, B2, B3",0,49.2,50.0,not admitted
Dental Sciences,Dentistry,346,"C4, B3, B2, A1, B2",23,83.45,77.4,admitted
Basic Medical Sciences,Pharmacology,272,"B2, C4, C4, C6, C6",27,74.2,72.625,admitted
Engineering,Electrical & Electronics Engineering,358,"C5, B2, C6, C6, C4",9,66.55,50.0,not admitted
Education,Business Education,302,"B2, C4, B3, C5, C4",2,54.55,50.0,not admitted
Pharmacy,Pharmacy,316,"B2, A1, B2, A1, B2",11,69.3,76.125,not admitted
Dental Sciences,Dentistry,229,"C5, C5, B2, C4, B3",14,57.02,77.4,considered
Engineering,Computer Engineering,346,"A1, C6, B3, C6, B3",28,85.65,50.0,admitted
Science,Geophysics,224,"B3, B3, B2, A1, C6",0,44.0,50.0,not admitted
Education,Education Chemistry,302,"C6, C6, A1, B3, C4",26,77.75,50.0,admitted
Clinical Sciences,Medicine and Surgery,354,"B3, A1, B2, C6, C6",1,60.05,80.8,not admitted
Arts,History & Strategic Studies,304,"C4, C5, A1, C6, B2",2,54.8,68.6,not admitted
Engineering,Computer Engineering,209,"C5, A1, C5, B3, A1",7,49.12,50.0,not admitted
Science,Mathematics,294,"C6, C5, B2, A1, B3",9,60.95,50.0,not admitted
Science,Physics,300,"B3, B2, C6, B2, B2",5,58.5,50.0,not admitted
Social Sciences,Mass Communication,371,"B3, C5, A1, C4, B3",6,67.97,72.35,not admitted
Arts,Islamic Religious Studies,264,"C4, C5, C6, C5, C4",0,45.4,60.225,not admitted
Management Sciences,Business Administration,234,"B2, B3, B2, C6, B3",1,45.85,68.65,not admitted
Basic Medical Sciences,Medical Laboratory Science,261,"B2, C6, B2, C4, A1",2,50.62,74.675,not admitted
Engineering,Surveying & Geoinformatics Engineering,314,"C6, B2, C6, C4, B3",15,67.85,50.0,admitted
Law,Law,201,"C5, C5, A1, B2, C4",25,65.33,68.65,considered
Dental Sciences,Dentistry,203,"C5, C5, C5, B3, B3",0,38.98,77.4,not admitted
Dental Sciences,Dentistry,332,"C6, B3, B2, C5, C4",25,80.5,77.4,admitted
Pharmacy,Pharmacy,400,"B2, C4, A1, A1, B3",6,73.6,76.125,not admitted
Science,Computer Science,352,"A1, B3, A1, C4, A1",20,82.0,71.75,admitted
Engineering,Metallurgical & Material Engineering,257,"C5, C6, C5, C4, B2",21,66.33,50.0,admitted
Basic Medical Sciences,Pharmacology,396,"C5, B3, C6, C6, B2",0,62.7,72.625,not admitted
Environmental Sciences,Estate Management,369,"B3, C6, A1, C4, B2",20,81.72,50.0,admitted
Clinical Sciences,Physiotherapy,349,"C4, B3, A1, C5, B3",30,89.22,73.75,admitted
Management Sciences,IRPM,274,"C6, B2, B3, C5, A1",27,76.45,50.0,admitted
Science,Computer Science,398,"C4, C6, B3, B3, B3",27,91.15,71.75,admitted
Pharmacy,Pharmacy,272,"C4, A1, C6, C6, C4",28,75.6,76.125,considered
Arts,English,252,"C5, C6, C6, A1, C6",12,55.9,68.175,considered
Environmental Sciences,Estate Management,311,"B3, C4, C5, C6, B3",9,61.48,50.0,not admitted
Management Sciences,Finance,338,"A1, C5, C6, A1, C4",13,70.45,68.9,admitted
Education,Technology Education,285,"A1, A1, C4, C4, C4",18,70.03,50.0,admitted
Dental Sciences,Dentistry,366,"B2, C4, B3, C5, B2",1,62.35,77.4,not admitted
Pharmacy,Pharmacy,272,"C5, C5, B3, C6, C5",7,53.4,76.125,not admitted
Environmental Sciences,Estate Management,262,"C4, C5, B2, C6, B2",1,48.15,50.0,not admitted
Clinical Sciences,Physiotherapy,283,"C6, B3, A1, C6, A1",21,71.58,73.75,considered
Management Sciences,Accounting,237,"C5, B3, C5, C5, B3",6,49.23,74.1,not admitted
Pharmacy,Pharmacy,312,"A1, B3, A1, C5, B2",14,70.2,76.125,considered
Education,Education Biology,378,"B2, B2, C6, A1, B2",22,86.05,50.0,admitted
Arts,Islamic Religious Studies,230,"A1, C4, B3, B2, A1",18,64.35,60.225,admitted
Social Sciences,Mass Communication,332,"A1, C6, C6, C4, A1",22,78.3,72.35,admitted
Basic Medical Sciences,Pharmacology,333,"C4, C4, C5, C4, B3",22,77.62,72.625,admitted
Environmental Sciences,Architecture,382,"A1, C4, A1, B2, B2",9,74.75,50.0,not admitted
Clinical Sciences,Physiotherapy,211,"C6, C6, B3, C4, B2",16,55.98,73.75,considered
Social Sciences,Political Science,272,"C5, C6, C5, B2, C5",10,56.8,68.6,not admitted
Environmental Sciences,Estate Management,230,"B2, B3, A1, C6, C6",17,60.55,50.0,admitted
Law,Law,268,"C4, B3, C6, A1, B2",20,69.1,68.65,admitted
Environmental Sciences,Building,205,"C6, B3, A1, C5, A1",5,46.23,50.0,not admitted
Education,Education Geography,267,"B3, B3, A1, B3, C6",27,75.97,50.0,admitted
Social Sciences,Social Work,234,"C4, B2, B3, B3, B2",3,48.65,50.0,not admitted
Science,Fisheries,234,"C5, C6, C4, C5, A1",8,50.85,50.0,not admitted
Basic Medical Sciences,Pharmacology,256,"C5, B2, B3, B3, C4",23,70.2,72.625,considered
Education,Education History,229,"C5, C5, A1, C4, C4",2,45.02,50.0,not admitted
Education,Education Physics,309,"C5, B3, C5, A1, A1",21,75.62,50.0,admitted
Basic Medical Sciences,Physiology,246,"B3, C6, C5, C5, C4",16,59.55,71.55,considered
Clinical Sciences,Physiotherapy,313,"C5, C4, A1, C6, C6",3,55.33,73.75,not admitted
Management Sciences,Actuarial Science,294,"C4, B3, A1, A1, C4",23,76.55,61.875,admitted
Basic Medical Sciences,Medical Laboratory Science,217,"B3, A1, C5, C4, C6",28,69.53,74.675,considered
Basic Medical Sciences,Physiology,224,"C6, B2, B3, C5, C4",8,50.0,71.55,not admitted
Arts,History & Strategic Studies,340,"B2, B2, C4, C6, C5",28,84.9,68.6,admitted
Science,Computer Science,266,"B3, B3, B3, C4, B3",5,53.85,71.75,not admitted
Law,Law,214,"B3, B2, B3, C6, C5",4,45.15,68.65,not admitted
Science,Botany,226,"C6, C6, C4, B2, C4",28,69.45,50.0,admitted
Social Sciences,Social Work,257,"C5, C5, C4, B3, B2",26,72.53,50.0,admitted
Engineering,Biomedical Engineering,238,"C6, B3, C5, B2, B3",3,47.15,50.0,not admitted
Clinical Sciences,Medicine and Surgery,343,"C6, B3, C6, B2, C5",13,69.08,80.8,considered
Environmental Sciences,Architecture,347,"A1, A1, C5, C4, A1",9,69.58,50.0,not admitted
Pharmacy,Pharmacy,333,"B3, C4, B3, B2, C4",3,60.23,76.125,not admitted
Pharmacy,Pharmacy,323,"C6, C6, C5, A1, A1",22,76.78,76.125,admitted
Arts,Christian Religious Studies,260,"A1, C4, C6, C6, A1",18,65.3,61.625,admitted
Dental Sciences,Dentistry,273,"A1, B3, B3, B2, B3",13,64.33,77.4,considered
Management Sciences,Actuarial Science,257,"C6, A1, C4, C5, C6",6,51.33,61.875,not admitted
Arts,Christian Religious Studies,208,"B2, C5, B2, C6, B3",23,63.8,61.625,admitted
Clinical Sciences,Nursing,350,"A1, C6, C6, C5, B2",29,86.75,70.875,admitted
Environmental Sciences,Estate Management,343,"B3, B3, C4, A1, C6",11,69.08,50.0,not admitted
Dental Sciences,Dentistry,244,"A1, C5, A1, A1, C5",4,51.3,77.4,not admitted
Arts,History & Strategic Studies,398,"C6, C6, C5, A1, B3",22,85.35,68.6,admitted
Clinical Sciences,Medicine and Surgery,288,"C6, C5, C5, B3, A1",5,55.0,80.8,not admitted
Management Sciences,IRPM,287,"A1, B3, C6, C5, C5",0,49.88,50.0,not admitted
Basic Medical Sciences,Pharmacology,393,"B2, B3, C6, A1, C4",9,73.72,72.625,not admitted
Social Sciences,Social Work,257,"B3, C5, C4, B3, A1",6,53.73,50.0,not admitted
Dental Sciences,Dentistry,331,"C4, C4, C6, A1, B2",7,63.58,77.4,not admitted
Education,Education Islamic Religious Studies,257,"C4, B2, A1, C6, A1",29,77.53,50.0,admitted
Education,Education English,208,"B2, A1, C6, B2, C5",7,48.6,50.0,not admitted
Education,Education Economics,224,"C6, B2, B2, C5, B3",5,47.8,50.0,not admitted
Arts,Christian Religious Studies,270,"B3, A1, B2, C6, C5",13,61.95,61.625,admitted
Arts,History & Strategic Studies,393,"B3, B2, C4, B3, C5",19,83.33,68.6,admitted
Management Sciences,Insurance,366,"C6, B3, C6, A1, C5",0,59.35,67.125,not admitted
Dental Sciences,Dentistry,333,"B2, B3, C5, C6, C6",1,55.83,77.4,not admitted
Environmental Sciences,Architecture,283,"B2, C6, C4, A1, B3",15,65.97,50.0,admitted
Science,Geology,283,"C6, B3, C5, B2, C4",10,59.38,50.0,not admitted
Science,Botany,296,"C6, B2, B2, A1, C6",28,80.2,50.0,admitted
Pharmacy,Pharmacy,327,"B2, C6, C5, B2, A1",26,82.47,76.125,admitted
Clinical Sciences,Physiotherapy,366,"B2, C6, C6, C6, C6",9,66.35,73.75,not admitted
Arts,Creative Arts,289,"C6, C6, C6, B2, A1",28,77.72,67.05,admitted
Management Sciences,Business Administration,219,"A1, B3, C4, C5, B2",27,70.38,68.65,admitted
Environmental Sciences,Quantity Surveying,356,"B2, C5, C4, B3, A1",16,76.5,50.0,admitted
Science,Geology,232,"C5, C4, A1, C6, C6",16,58.2,50.0,admitted
Science,Zoology,270,"A1, C4, C6, C6, B2",23,71.15,50.0,admitted
Social Sciences,Mass Communication,304,"A1, C6, B2, B2, A1",19,74.2,72.35,admitted
Basic Medical Sciences,Pharmacology,343,"C5, C5, B2, B3, B3",18,75.67,72.625,admitted
Social Sciences,Political Science,295,"C4, B2, C4, C6, C6",28,78.08,68.6,admitted
Dental Sciences,Dentistry,332,"A1, C5, C5, C6, B2",13,68.9,77.4,considered
Social Sciences,Political Science,318,"C4, C6, C4, C6, C4",3,55.15,68.6,not admitted
Engineering,Surveying & Geoinformatics Engineering,300,"C5, B2, B2, A1, A1",5,60.1,50.0,not admitted
Science,Microbiology,219,"B3, B3, C4, B2, C6",2,44.17,50.0,not admitted
Arts,Christian Religious Studies,298,"C4, C5, B2, C5, C4",30,81.25,61.625,admitted
Engineering,Biomedical Engineering,336,"A1, C4, C5, C4, C4",8,64.8,50.0,not admitted
Education,Early Childhood Education,215,"A1, B2, B2, B3, C4",18,62.08,50.0,admitted
Environmental Sciences,Quantity Surveying,247,"C5, C5, C4, C4, C5",27,70.67,50.0,admitted
Management Sciences,Business Administration,374,"C6, C5, C4, C5, B2",19,78.95,68.65,admitted
Management Sciences,Actuarial Science,295,"B2, C4, B3, C4, C4",8,60.08,61.875,not admitted
Social Sciences,Social Work,286,"C6, C6, A1, A1, C4",12,62.55,50.0,admitted
Dental Sciences,Dentistry,363,"C5, C5, C4, B2, B3",6,65.78,77.4,not admitted
Basic Medical Sciences,Physiology,250,"B2, C6, C4, A1, A1",1,48.65,71.55,not admitted
Arts,Chinese,322,"C5, A1, C5, C5, C4",7,61.25,66.7,not admitted
Arts,English,338,"B2, B2, C6, C4, B2",21,78.85,68.175,admitted
Dental Sciences,Dentistry,381,"C6, B3, B3, A1, C4",20,82.83,77.4,admitted
Engineering,Civil & Environmental Engineering,200,"A1, A1, C6, B2, C5",0,41.0,50.0,not admitted
Pharmacy,Pharmacy,252,"C5, C4, C5, C6, C5",30,73.5,76.125,considered
Engineering,Electrical & Electronics Engineering,224,"B2, C5, C4, C5, C4",18,60.0,50.0,admitted
Pharmacy,Pharmacy,356,"C5, C6, C6, C6, B2",25,81.5,76.125,admitted
Management Sciences,Accounting,384,"C4, C6, A1, C4, C5",18,80.0,74.1,admitted
Environmental Sciences,Estate Management,233,"A1, A1, C6, C5, C6",5,48.52,50.0,not admitted
Education,Education Economics,304,"C5, C5, C5, C4, C5",11,61.4,50.0,not admitted
Dental Sciences,Dentistry,230,"C6, A1, C6, B2, B3",30,73.55,77.4,considered
Clinical Sciences,Nursing,255,"C5, B2, B2, A1, C4",30,78.28,70.875,admitted
Basic Medical Sciences,Pharmacology,284,"C5, B3, A1, A1, C6",17,68.1,72.625,considered
Engineering,Mechanical Engineering,387,"B3, A1, C6, B2, C4",3,66.97,50.0,not admitted
Clinical Sciences,Radiography,223,"A1, C4, C6, C5, C5",23,64.47,72.525,considered
Dental Sciences,Dentistry,395,"C6, B2, B3, B3, C6",0,63.38,77.4,not admitted
Social Sciences,Mass Communication,345,"B3, A1, A1, B3, A1",6,67.53,72.35,not admitted
Engineering,Civil & Environmental Engineering,268,"A1, C6, B2, A1, C5",28,77.5,50.0,admitted
Law,Law,242,"C6, C6, C4, C5, B2",25,68.05,68.65,considered
Management Sciences,Accounting,217,"C6, A1, A1, C5, A1",22,65.53,74.1,considered
Science,Cell Biology & Genetics,255,"B3, C5, B3, C6, A1",29,75.67,50.0,admitted
Management Sciences,IRPM,333,"A1, C5, C5, C6, C4",24,79.22,50.0,admitted
Science,Marine Biology,305,"A1, C5, B2, B3, C6",27,80.33,50.0,admitted
Dental Sciences,Dentistry,298,"A1, C5, B3, A1, A1",18,72.85,77.4,considered
Engineering,Mechanical Engineering,216,"C6, B2, C4, B3, C5",12,53.0,50.0,admitted
Management Sciences,Accounting,232,"B2, B3, C4, B2, C5",12,56.6,74.1,considered
Science,Geophysics,210,"C4, B3, B2, A1, A1",24,67.85,50.0,admitted
Science,Statistics,339,"C6, B3, B3, B3, B2",15,72.58,50.0,admitted
Clinical Sciences,Radiography,353,"C5, B2, C4, B3, C6",9,67.12,72.525,not admitted
Arts,English,283,"C6, C6, A1, A1, A1",13,64.38,68.175,considered
Social Sciences,Political Science,281,"B3, B2, B3, B2, A1",27,79.72,68.6,admitted
Science,Cell Biology & Genetics,399,"C6, C5, B3, C4, C4",16,79.08,50.0,admitted
Dental Sciences,Dentistry,284,"B2, A1, C6, C5, B2",14,65.1,77.4,considered
Basic Medical Sciences,Physiology,235,"C4, B3, C6, B3, B2",23,67.17,71.55,considered
Management Sciences,Business Administration,368,"B3, C6, C6, B3, C6",13,71.4,68.65,admitted
Law,Law,368,"A1, C4, C4, C6, B2",19,80.2,68.65,admitted
Science,Geophysics,383,"C6, C5, C4, C6, B3",7,67.28,50.0,not admitted
Law,Law,222,"C4, C5, A1, C4, C4",3,45.55,68.65,not admitted
Social Sciences,Mass Communication,210,"C5, C4, C6, C5, C4",14,52.65,72.35,considered
Environmental Sciences,Architecture,370,"B2, B3, A1, C4, B2",15,78.45,50.0,admitted
Clinical Sciences,Radiography,336,"C4, C5, C5, A1, C5",12,68.0,72.525,considered
Education,Integrated Science Education,219,"C5, B3, B3, C6, C4",5,45.98,50.0,not admitted
Arts,Russian,382,"B2, C5, B3, B2, B3",20,83.75,67.65,admitted
Arts,Linguistic Igbo/Yoruba,339,"C5, A1, A1, B2, C4",28,87.17,61.175,admitted
Arts,Linguistic Igbo/Yoruba,350,"B2, A1, C5, A1, B3",21,81.95,61.175,admitted
Social Sciences,Geography,239,"B3, C5, B2, C5, C5",24,67.88,50.0,admitted
Management Sciences,Business Administration,353,"C5, C4, C4, C6, C6",15,71.12,68.65,admitted
Science,Geophysics,351,"A1, A1, C5, C6, C5",27,85.67,50.0,admitted
Dental Sciences,Dentistry,369,"A1, A1, C6, C6, C4",30,90.92,77.4,admitted
Basic Medical Sciences,Medical Laboratory Science,302,"C5, B3, C5, C6, C5",7,57.15,74.675,not admitted
Pharmacy,Pharmacy,222,"C4, C5, A1, C5, C5",18,59.75,76.125,considered
Pharmacy,Pharmacy,365,"A1, B3, C5, A1, A1",13,76.22,76.125,admitted
Basic Medical Sciences,Medical Laboratory Science,392,"A1, A1, C5, B3, A1",23,89.6,74.675,admitted
Clinical Sciences,Physiotherapy,357,"B2, C5, C4, B3, C5",17,76.03,73.75,admitted
Management Sciences,Finance,256,"A1, C4, C6, C6, C6",28,72.8,68.9,admitted
Basic Medical Sciences,Pharmacology,345,"A1, B2, C5, B3, B3",0,59.52,72.625,not admitted
Environmental Sciences,Building,275,"B2, B3, C4, B3, B3",23,73.38,50.0,admitted
Science,Statistics,283,"A1, C6, A1, A1, C5",27,78.78,50.0,admitted
Management Sciences,IRPM,230,"B2, A1, C6, B3, A1",17,62.55,50.0,admitted
Science,Botany,292,"A1, B3, B3, C4, C6",27,78.7,50.0,admitted
Arts,Chinese,320,"C4, B2, B3, B2, C4",28,84.0,66.7,admitted
Science,Industrial Mathematics,236,"B3, B3, B2, C5, B3",7,52.1,50.0,not admitted
Science,Botany,303,"C5, C5, C5, C4, C4",6,56.67,50.0,not admitted
Education,Education Christian Religious Studies,221,"C4, C6, C4, B2, B3",16,58.02,50.0,admitted
Pharmacy,Pharmacy,280,"C4, C6, B3, A1, B2",12,62.6,76.125,considered
Science,Botany,218,"C5, C4, B3, C5, C6",7,47.05,50.0,not admitted
Arts,French,365,"B3, C4, B2, C5, B3",24,84.83,66.55,admitted
Science,Microbiology,297,"A1, B3, C6, C6, A1",0,52.33,50.0,not admitted
Law,Law,317,"C4, C4, A1, C6, A1",20,75.22,68.65,admitted
Pharmacy,Pharmacy,224,"B2, C6, A1, A1, C4",29,73.4,76.125,considered
Management Sciences,Insurance,321,"B3, B3, C5, C6, C6",15,67.92,67.125,admitted
Arts,Philosophy,350,"B3, B2, C4, C6, B3",11,69.55,67.4,not admitted
Education,Integrated Science Education,258,"B3, B2, C5, B3, B2",2,50.25,50.0,not admitted
Environmental Sciences,Architecture,308,"C4, C5, B3, C6, A1",5,57.9,50.0,not admitted
Social Sciences,Economics,386,"B2, B2, B2, C4, C6",12,75.85,69.95,admitted
Basic Medical Sciences,Pharmacology,383,"B3, C6, A1, C4, B3",19,82.08,72.625,admitted
Law,Law,278,"B3, B3, C4, C6, C4",25,73.75,68.65,admitted
Law,Law,224,"B3, A1, A1, A1, C4",3,49.0,68.65,not admitted
Dental Sciences,Dentistry,329,"A1, A1, B3, B2, B3",1,60.12,77.4,not admitted
Clinical Sciences,Nursing,370,"C6, B2, B2, C5, C4",7,67.65,70.875,not admitted
Dental Sciences,Dentistry,280,"B3, B2, C4, C5, C5",8,57.4,77.4,not admitted
Law,Law,363,"C6, C4, B2, B2, A1",16,77.38,68.65,admitted
Arts,Christian Religious Studies,386,"C4, A1, C5, B3, B3",1,64.85,61.625,not admitted
Clinical Sciences,Radiography,220,"C6, C5, A1, C6, C6",8,47.9,72.525,not admitted
Management Sciences,Actuarial Science,288,"C6, A1, B2, B2, C5",19,70.6,61.875,admitted
Law,Law,318,"C4, B2, C5, B3, C6",28,81.75,68.65,admitted
Science,Statistics,365,"A1, A1, B2, B2, C4",29,92.62,50.0,admitted
Science,Statistics,290,"A1, B3, C4, A1, C5",7,59.65,50.0,not admitted
Management Sciences,Insurance,203,"B2, A1, B2, B3, A1",2,45.77,67.125,not admitted
Science,Computer Science,298,"C6, C4, C5, C6, C4",11,60.25,71.75,not admitted
Social Sciences,Psychology,383,"B3, B3, C6, B3, C4",3,65.28,67.4,not admitted
Education,Education History,397,"C6, C4, C6, B2, C5",10,72.42,50.0,not admitted
Pharmacy,Pharmacy,396,"C4, C5, A1, C6, C5",24,87.1,76.125,admitted
Basic Medical Sciences,Medical Laboratory Science,390,"C4, C6, B3, C5, C5",27,88.55,74.675,admitted
Law,Law,281,"A1, C5, C5, C6, B3",3,52.12,68.65,not admitted
Basic Medical Sciences,Pharmacology,281,"B2, C6, A1, B3, B3",27,78.12,72.625,admitted
Science,Computer Science,202,"C4, C4, C6, C5, B3",25,63.45,71.75,considered
Arts,Christian Religious Studies,256,"B3, B2, A1, C6, C5",16,63.2,61.625,admitted
Law,Law,367,"C6, B2, B2, C4, C6",19,78.88,68.65,admitted
Pharmacy,Pharmacy,281,"B2, B3, C4, B3, B3",15,66.12,76.125,considered
Social Sciences,Political Science,224,"C6, C5, C4, A1, C4",2,44.0,68.6,not admitted
Law,Law,384,"C5, B3, A1, B2, C6",18,81.2,68.65,admitted
Education,Business Education,275,"B2, A1, B3, C5, C4",21,71.38,50.0,admitted
Social Sciences,Mass Communication,366,"C4, C4, B3, C4, C6",29,88.35,72.35,admitted
Science,Zoology,258,"C4, B3, C6, C5, B3",28,73.85,50.0,admitted
Clinical Sciences,Physiotherapy,334,"C5, B2, C5, A1, B2",4,61.75,73.75,not admitted
Law,Law,284,"C6, A1, B3, C4, C5",13,62.9,68.65,considered
Education,Business Education,289,"B2, C4, B2, B2, A1",13,66.72,50.0,admitted
Dental Sciences,Dentistry,350,"B2, B3, C4, A1, B3",3,63.55,77.4,not admitted
Basic Medical Sciences,Physiology,314,"A1, C6, A1, B2, C5",29,84.25,71.55,admitted
Clinical Sciences,Nursing,309,"C5, C4, C6, B2, B3",25,77.62,70.875,admitted
Clinical Sciences,Radiography,335,"A1, C6, A1, C5, B2",27,84.88,72.525,admitted
Dental Sciences,Dentistry,308,"C5, B2, C6, C5, B3",10,62.1,77.4,not admitted
Science,Mathematics,257,"B3, B3, B3, B3, B2",3,51.53,50.0,not admitted
Environmental Sciences,Urban & Regional Planning,315,"B2, C4, B3, C5, A1",26,81.38,50.0,admitted
Engineering,Metallurgical & Material Engineering,344,"B3, C4, C6, A1, A1",19,78.0,50.0,admitted
Engineering,Electrical & Electronics Engineering,332,"C6, C5, B2, B3, A1",22,78.7,50.0,admitted
Engineering,Civil & Environmental Engineering,354,"A1, B2, B2, C4, A1",6,68.25,50.0,not admitted
Arts,Chinese,281,"C4, B2, B2, C5, C6",30,79.53,66.7,admitted
Social Sciences,Social Work,282,"A1, C5, C6, B2, B2",8,58.85,50.0,not admitted
Management Sciences,Insurance,368,"B2, C5, B3, C5, B2",26,87.2,67.125,admitted
Basic Medical Sciences,Pharmacology,302,"A1, B2, B3, C5, C5",15,68.35,72.625,considered
Law,Law,207,"C4, B2, B2, C5, B3",4,45.48,68.65,not admitted
Law,Law,300,"C6, B2, A1, B2, A1",26,80.7,68.65,admitted
Environmental Sciences,Architecture,387,"C4, C5, B2, C6, C4",26,87.97,50.0,admitted
Environmental Sciences,Quantity Surveying,248,"B2, A1, B3, B3, C4",12,59.8,50.0,admitted
Environmental Sciences,Architecture,248,"C5, B2, A1, A1, C5",15,62.4,50.0,admitted
Science,Geophysics,385,"B3, C5, C4, B2, C6",6,68.12,50.0,not admitted
Environmental Sciences,Architecture,386,"C6, A1, C6, B3, C4",2,64.25,50.0,not admitted
Pharmacy,Pharmacy,384,"B3, B3, B3, C6, C4",12,74.4,76.125,considered
Education,Education Geography,369,"C6, C6, B2, B3, C6",9,67.92,50.0,not admitted
Social Sciences,Economics,229,"A1, C6, C4, C6, B3",27,69.62,69.95,considered
Management Sciences,Accounting,287,"C5, B3, C4, B3, C4",18,68.28,74.1,considered
Clinical Sciences,Nursing,380,"A1, B2, B3, C5, C4",27,90.5,70.875,admitted
Law,Law,268,"C6, C5, C6, A1, B2",14,61.5,68.65,considered
Basic Medical Sciences,Medical Laboratory Science,285,"C4, C4, C4, B2, C6",18,67.62,74.675,considered
Social Sciences,Mass Communication,379,"C5, C5, B3, B2, B2",24,86.58,72.35,admitted
Science,Geophysics,266,"A1, B2, B3, A1, C5",21,71.45,50.0,admitted
Science,Microbiology,320,"C4, B3, A1, A1, A1",14,72.0,50.0,admitted
