Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,utme_gap,aggregate_gap,Olevel_Valid,olevel_avg_points,admitted_numeric
Basic Medical Science,Radiology and Radiography,225,200,50.75,71.3,25,-20.55,1,3.4,0
Science,Industrial Chemistry,304,150,71.6,60.5,154,11.1,1,3.2,1
Environmental Design and Management,Survey and Geo-informatics,155,150,46.25,55.0,5,-8.75,1,2.6,0
Agriculture,Fisheries and Aquaculture,237,150,65.55,50.3,87,15.25,1,4.0,1
Communications and Media Studies,Journalism,179,150,46.85,64.0,29,-17.15,1,4.0,0
Pharmacy,Doctor of Pharmacy,332,240,61.8,55.0,92,6.8,1,2.4,1
College of Medicine,Medicine and Surgery,307,260,81.05,55.0,47,26.05,1,5.0,1
Law,Law,157,240,55.55,55.0,-83,0.55,1,4.4,0
Engineering,Electrical and Electronics Engineering,142,200,45.3,63.3,-58,-18.0,1,2.8,0
College of Medicine,Medicine and Surgery,325,260,73.75,55.0,65,18.75,1,5.0,1
Pharmacy,Doctor of Pharmacy,263,240,79.45,55.0,23,24.45,1,6.0,1
Agriculture,Crop Science and Horticulture,247,150,52.05,57.3,97,-5.25,1,3.0,0
Social Sciences,Political Science,143,180,41.45,62.5,-37,-21.05,1,4.0,0
Communications and Media Studies,Journalism,205,150,53.75,64.0,55,-10.25,1,2.6,0
Social Sciences,Psychology,327,150,65.05,64.5,177,0.55,1,3.2,1
Science,Mathematics,229,150,44.35,55.5,79,-11.15,1,2.0,0
Agriculture,Water Resources Management and Agrometeorology,241,150,55.15,55.0,91,0.15,1,3.8,1
Social Sciences,Political Science,213,180,61.95,62.5,33,-0.55,1,4.0,0
Law,Law,147,240,32.05,55.0,-93,-22.95,1,2.0,0
Education,Health Education,285,150,76.75,57.95,135,18.8,1,4.8,1
Science,Biochemistry,293,180,57.95,63.75,113,-5.8,1,2.8,0
Communications and Media Studies,Journalism,316,150,81.4,64.0,166,17.4,1,4.8,1
Social Sciences,Demography and Social Statistics,331,150,82.65,60.5,181,22.15,1,4.6,1
Science,Computer Science,234,200,63.1,65.3,34,-2.2,1,3.6,0
Communications and Media Studies,Mass Communication,339,220,74.85,66.3,119,8.55,1,2.8,1
Environmental Design and Management,Quantity Surveying,268,170,60.2,60.5,98,-0.3,1,4.0,0
Science,Computer Science,145,200,41.75,65.3,-55,-23.55,1,4.0,0
Communications and Media Studies,Mass Communication,153,220,50.95,66.3,-67,-15.35,1,3.6,0
Pharmacy,Doctor of Pharmacy,251,240,67.65,55.0,11,12.65,1,4.0,1
Environmental Design and Management,Architecture,311,210,72.65,66.25,101,6.4,1,3.2,1
Education,Health Education,229,150,61.35,57.95,79,3.4,1,3.4,1
Social Sciences,Demography and Social Statistics,328,150,66.2,60.5,178,5.7,1,3.4,1
Pharmacy,Doctor of Pharmacy,294,240,64.1,55.0,54,9.1,1,4.0,1
Social Sciences,Economics,288,180,56.2,63.75,108,-7.55,1,2.6,0
Engineering,Computer Engineering,340,200,69.0,64.3,140,4.7,1,3.6,1
Law,Law,187,240,64.05,55.0,-53,9.05,1,5.2,0
Basic Medical Science,Medical Laboratory Science,310,200,60.5,72.3,110,-11.8,1,2.8,0
Education,Guidance and Counselling,207,150,55.05,59.05,57,-4.0,1,2.8,0
College of Medicine,Medicine and Surgery,144,260,37.6,55.0,-116,-17.4,1,3.2,0
Social Sciences,Demography and Social Statistics,208,150,47.2,60.5,58,-13.3,1,3.2,0
Communications and Media Studies,Broadcasting,217,150,49.55,64.0,67,-14.45,1,3.4,0
Environmental Design and Management,Architecture,194,210,63.1,66.25,-16,-3.15,1,4.8,0
Communications and Media Studies,Pulic Relations,231,150,50.65,55.0,81,-4.35,1,3.2,0
Education,Health Education,335,150,83.25,57.95,185,25.3,1,4.6,1
Arts, English and Literary Studies,197,150,52.55,55.0,47,-2.45,1,2.6,0
Arts,Linguistics and Language,316,150,76.4,55.0,166,21.4,1,3.8,1
Arts,History and International Studies,220,180,61.0,67.8,40,-6.8,1,3.6,0
Environmental Design and Management,Estate Management,284,160,58.6,57.5,124,1.1,1,3.2,1
Management Sciences,Business Administration,145,200,44.75,55.0,-55,-10.25,1,4.6,0
Arts,Linguistics and Language,291,150,77.65,55.0,141,22.65,1,4.8,1
Communications and Media Studies,Mass Communication,300,220,63.0,66.3,80,-3.3,1,3.6,0
Agriculture,Hospitality and Tourism Management,144,150,47.6,58.45,-6,-10.85,1,3.2,0
Agriculture,Water Resources Management and Agrometeorology,240,150,53.0,55.0,90,-2.0,1,3.4,0
Science,Industrial Chemistry,264,150,65.6,60.5,114,5.1,1,3.2,1
Social Sciences,Psychology,221,150,62.15,64.5,71,-2.35,1,3.8,0
Law,Law,344,240,78.6,55.0,104,23.6,1,3.4,1
Environmental Design and Management,Survey and Geo-informatics,298,150,72.7,55.0,148,17.7,1,3.6,1
Communications and Media Studies,Mass Communication,188,220,44.2,66.3,-32,-22.1,1,3.2,0
Agriculture,Animal Production and Health,326,150,81.9,61.3,176,20.6,1,4.6,1
Communications and Media Studies,Pulic Relations,339,150,69.85,55.0,189,14.85,1,3.8,1
Pharmacy,Doctor of Pharmacy,226,240,61.9,55.0,-14,6.9,1,3.6,0
Social Sciences,Economics,312,180,66.8,63.75,132,3.05,1,4.0,1
Science,Microbiology,283,180,70.45,65.75,103,4.7,1,3.6,1
Basic Medical Science,Anatomy,176,180,48.4,63.3,-4,-14.9,1,4.4,0
College of Medicine,Medicine and Surgery,319,260,78.85,55.0,59,23.85,1,4.2,1
Management Sciences,Accounting,273,200,56.95,55.0,73,1.95,1,3.2,1
Communications and Media Studies,Pulic Relations,248,150,65.2,55.0,98,10.2,1,3.6,1
Communications and Media Studies,Mass Communication,185,220,62.75,66.3,-35,-3.55,1,5.0,0
Environmental Design and Management,Building,307,170,70.05,57.5,137,12.55,1,4.8,1
College of Medicine,Medicine and Surgery,228,260,58.2,55.0,-32,3.2,1,2.8,0
Communications and Media Studies,Broadcasting,248,150,62.2,64.0,98,-1.8,1,5.0,0
Agriculture,Fisheries and Aquaculture,223,150,48.45,50.3,73,-1.85,1,3.0,0
Education,Biology Education,342,150,80.3,55.0,192,25.3,1,3.8,1
Law,Law,252,240,57.8,55.0,12,2.8,1,2.0,1
Science,Computer Science,309,200,78.35,65.3,109,13.05,1,4.4,1
College of Medicine,Medicine and Surgery,318,260,75.7,55.0,58,20.7,1,3.6,1
Communications and Media Studies,Journalism,216,150,53.4,64.0,66,-10.6,1,2.2,0
Law,Law,212,240,52.8,55.0,-28,-2.2,1,4.2,0
Social Sciences,Psychology,222,150,54.3,64.5,72,-10.2,1,4.2,0
College of Medicine,Medicine and Surgery,248,260,53.2,55.0,-12,-1.8,1,3.2,0
College of Medicine,Medicine and Surgery,200,260,53.0,55.0,-60,-2.0,1,2.6,0
Science,Industrial Chemistry,279,150,68.85,60.5,129,8.35,1,3.4,1
Law,Law,157,240,40.55,55.0,-83,-14.45,1,3.4,0
Pharmacy,Doctor of Pharmacy,204,240,52.6,55.0,-36,-2.4,1,4.4,0
Environmental Design and Management,Building,210,170,57.5,57.5,40,0.0,1,3.2,1
Science,Botany,148,150,39.2,53.5,-2,-14.3,1,3.4,0
College of Medicine,Medicine and Surgery,226,260,51.9,55.0,-34,-3.1,1,3.6,0
Engineering,Computer Engineering,152,200,45.8,64.3,-48,-18.5,1,4.6,0
Law,Law,153,240,40.95,55.0,-87,-14.05,1,3.6,0
Pharmacy,Doctor of Pharmacy,278,240,58.7,55.0,38,3.7,1,3.4,1
Communications and Media Studies,Journalism,337,150,81.55,64.0,187,17.55,1,4.2,1
Science,Computer Science,329,200,66.35,65.3,129,1.05,1,3.4,1
Science,Chemistry,308,150,74.2,62.5,158,11.7,1,3.6,1
Management Sciences,Business Administration,272,200,66.8,55.0,72,11.8,1,5.2,1
Engineering,Meterials and Metallurgical Engineering,233,150,48.95,55.0,83,-6.05,1,2.8,0
Agriculture,Fisheries and Aquaculture,218,150,60.7,50.3,68,10.4,1,3.6,1
Communications and Media Studies,Pulic Relations,247,150,68.05,55.0,97,13.05,1,4.2,1
Management Sciences,Public Administration,303,160,81.45,55.0,143,26.45,1,5.2,1
College of Medicine,Medicine and Surgery,307,260,77.05,55.0,47,22.05,1,4.2,1
Pharmacy,Doctor of Pharmacy,337,240,85.55,55.0,97,30.55,1,5.0,1
Agriculture,Food Science and Technology,306,150,60.9,58.0,156,2.9,1,3.0,1
Agriculture,Food Science and Technology,221,150,58.15,58.0,71,0.15,1,3.0,1
Pharmacy,Doctor of Pharmacy,182,240,51.3,55.0,-58,-3.7,1,4.8,0
Engineering,Electrical and Electronics Engineering,231,200,60.65,63.3,31,-2.65,1,5.2,0
Agriculture,Animal Production and Health,236,150,68.4,61.3,86,7.1,1,4.6,1
Engineering,Agricultural and Bio-Resources Engineering,247,160,51.05,55.0,87,-3.95,1,2.8,0
Education,Health Education,202,150,63.3,57.95,52,5.35,1,4.6,1
Communications and Media Studies,Mass Communication,254,220,62.1,66.3,34,-4.2,1,2.8,0
Basic Medical Science,Physiology,219,180,56.85,61.5,39,-4.65,1,4.8,0
Social Sciences,Geography,241,150,53.15,55.0,91,-1.85,1,3.4,0
Management Sciences,Business Administration,145,200,41.75,55.0,-55,-13.25,1,2.0,0
Education,Guidance and Counselling,229,150,54.35,59.05,79,-4.7,1,4.0,0
Engineering,Electrical and Electronics Engineering,235,200,47.25,63.3,35,-16.05,1,2.4,0
College of Medicine,Medicine and Surgery,200,260,45.0,55.0,-60,-10.0,1,3.0,0
Environmental Design and Management,Urban and Regional Planning,237,150,55.55,56.0,87,-0.45,1,4.0,0
Environmental Design and Management,Building,205,170,63.75,57.5,35,6.25,1,4.6,1
Environmental Design and Management,Architecture,343,210,71.45,66.25,133,5.2,1,4.0,1
Engineering,Agricultural and Bio-Resources Engineering,171,160,53.65,55.0,11,-1.35,1,3.6,0
Agriculture,Fisheries and Aquaculture,212,150,63.8,50.3,62,13.5,1,4.4,1
Agriculture,Hospitality and Tourism Management,279,150,68.85,58.45,129,10.4,1,3.4,1
College of Medicine,Medicine and Surgery,312,260,78.8,55.0,52,23.8,1,4.4,1
Environmental Design and Management,Survey and Geo-informatics,346,150,78.9,55.0,196,23.9,1,3.4,1
Communications and Media Studies,Mass Communication,221,220,58.15,66.3,1,-8.15,1,3.0,0
Agriculture,Animal Production and Health,157,150,53.55,61.3,7,-7.75,1,4.0,0
Environmental Design and Management,Building,180,170,44.0,57.5,10,-13.5,1,3.4,0
Arts,Linguistics and Language,141,150,46.15,55.0,-9,-8.85,1,3.0,0
Communications and Media Studies,Journalism,226,150,68.9,64.0,76,4.9,1,5.0,1
Law,Law,167,240,42.05,55.0,-73,-12.95,1,3.4,0
College of Medicine,Medicine and Surgery,317,260,66.55,55.0,57,11.55,1,3.8,1
Arts,History and International Studies,329,180,66.35,67.8,149,-1.45,1,3.4,0
Pharmacy,Doctor of Pharmacy,337,240,78.55,55.0,97,23.55,1,3.6,1
Communications and Media Studies,Broadcasting,266,150,61.9,64.0,116,-2.1,1,2.4,0
Engineering,Mechanical Engineering,309,200,72.35,65.0,109,7.35,1,3.2,1
Law,Law,186,240,53.9,55.0,-54,-1.1,1,5.2,0
Social Sciences,Demography and Social Statistics,325,150,59.75,60.5,175,-0.75,1,2.2,0
Social Sciences,Geography,285,150,60.75,55.0,135,5.75,1,3.6,1
Pharmacy,Doctor of Pharmacy,242,240,55.3,55.0,2,0.3,1,3.8,1
Arts,History and International Studies,146,180,55.9,67.8,-34,-11.9,1,4.8,0
Arts,Linguistics and Language,341,150,70.15,55.0,191,15.15,1,3.8,1
Agriculture,Water Resources Management and Agrometeorology,188,150,58.2,55.0,38,3.2,1,4.0,1
College of Medicine,Medicine and Surgery,180,260,57.0,55.0,-80,2.0,1,4.0,0
Communications and Media Studies,Broadcasting,229,150,51.35,64.0,79,-12.65,1,3.4,0
Arts, English and Literary Studies,141,150,42.15,55.0,-9,-12.85,1,4.2,0
Engineering,Agricultural and Bio-Resources Engineering,258,160,58.7,55.0,98,3.7,1,4.0,1
Management Sciences,Business Administration,218,200,62.7,55.0,18,7.7,1,4.0,1
Science,Biochemistry,234,180,63.1,63.75,54,-0.65,1,3.6,0
Education,Physics Education,203,150,42.45,53.6,53,-11.15,1,2.4,0
Basic Medical Science,Anatomy,155,180,42.25,63.3,-25,-21.05,1,3.8,0
Engineering,Agricultural and Bio-Resources Engineering,170,160,39.5,55.0,10,-15.5,1,2.8,0
Science,Industrial Chemistry,327,150,63.05,60.5,177,2.55,1,2.8,1
Basic Medical Science,Nursing Science,183,150,38.45,55.0,33,-16.55,1,2.2,0
Management Sciences,Finance,206,160,57.9,55.0,46,2.9,1,3.4,1
Science,Statistics,183,150,47.45,54.5,33,-7.05,1,2.0,0
Pharmacy,Doctor of Pharmacy,307,240,62.05,55.0,67,7.05,1,3.2,1
Engineering,Electrical and Electronics Engineering,308,200,77.2,63.3,108,13.9,1,4.2,1
Environmental Design and Management,Architecture,218,210,53.7,66.25,8,-12.55,1,4.2,0
Basic Medical Science,Anatomy,248,180,69.2,63.3,68,5.9,1,4.4,1
Basic Medical Science,Anatomy,185,180,46.75,63.3,5,-16.55,1,3.8,0
College of Medicine,Medicine and Surgery,209,260,61.35,55.0,-51,6.35,1,4.0,0
Engineering,Computer Engineering,293,200,60.95,64.3,93,-3.35,1,3.4,0
Social Sciences,Sociology,315,160,72.25,63.95,155,8.3,1,3.0,1
Law,Law,146,240,41.9,55.0,-94,-13.1,1,4.0,0
Basic Medical Science,Nursing Science,264,150,64.6,55.0,114,9.6,1,3.0,1
Management Sciences,Public Administration,346,160,78.9,55.0,186,23.9,1,5.4,1
