faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Information and Communication Technology,Library and Information Science,290,77.25,False,not admitted,"B3, A1, B3, B3, C4"
Pure and Applied Science,Microbiology,236,63.5,False,not admitted,"C5, B3, C4, C5, C4"
Management and Social Sciences,Business and Entrepreneurship,387,84.38,False,not admitted,"B2, B3, C6, C4, C4"
Education,Human Kinetic and Health Education,228,64.5,True,not admitted,"B2, B3, C4, C6, C4"
Allied Health Science,Medical Laboratory Science,387,90.38,True,not admitted,"B3, B3, B2, C4, A1"
Education,Educational Management,150,52.75,True,not admitted,"A1, B3, C6, C6, C5"
Allied Health Science,Medical Laboratory Science,189,66.62,False,not admitted,"B2, C6, A1, A1, B2"
Pure and Applied Science,Geology and Mineral Sciences,351,80.88,False,not admitted,"B3, C6, C4, B2, B3"
Arts,English Language and Linguistics,230,64.75,True,not admitted,"B2, C6, C4, C4, B3"
Allied Health Science,Medical Laboratory Science,394,86.25,True,not admitted,"B3, C6, B3, C5, A1"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",285,68.62,True,not admitted,"C6, C4, B3, B3, C6"
Information and Communication Technology,Library and Information Science,250,74.25,True,not admitted,"C4, B2, B2, A1, B3"
Law,Jurisprudence and Public Law,256,67.0,True,not admitted,"C5, B3, C5, C5, B2"
Law,Jurisprudence and Public Law,243,65.38,True,not admitted,"C6, B2, C4, B3, C5"
Management and Social Sciences,Accounting and Finance,338,77.25,False,not admitted,"C6, C5, C4, B3, B2"
Information and Communication Technology,Computer Science,162,52.25,True,not admitted,"C6, C5, C5, B2, C5"
Allied Health Science,Public Health,286,72.75,False,not admitted,"B3, C6, B3, A1, C5"
Arts,Arabic and French,322,72.25,True,not admitted,"C4, C5, C6, B3, C5"
Information and Communication Technology,Mass Communication,362,77.25,True,not admitted,"B3, C6, C6, B3, C5"
Agriculture,Food Science and Technology,264,74.0,True,not admitted,"C6, A1, C4, B2, A1"
Pure and Applied Science,Biochemistry,256,64.0,True,not admitted,"C6, C4, C5, C6, B2"
Arts,Arabic and French,400,93.0,False,not admitted,"B2, B2, B2, C4, B2"
Agriculture,Crop Production,189,56.62,True,not admitted,"C5, B3, C6, B3, C5"
Education,Business and Entrepreneurship Education,190,69.75,False,not admitted,"A1, B2, B2, B2, B2"
Information and Communication Technology,Mass Communication,379,80.38,True,not admitted,"C4, C5, B2, C6, C5"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",301,75.62,False,not admitted,"B3, C4, B3, C5, B2"
Management and Social Sciences,Economics and Development Studies,184,64.0,True,not admitted,"C6, C4, A1, A1, B2"
Engineering and Technology,Food and Agricultural Engineering,226,72.25,False,not admitted,"B2, C4, B3, A1, A1"
Arts,Performing Arts and Film Studies,237,64.62,True,not admitted,"C6, B2, A1, C6, C5"
Education,Business and Entrepreneurship Education,170,59.25,True,not admitted,"C6, C4, C4, B2, A1"
Agriculture,Food Science and Technology,248,67.0,True,not admitted,"B2, C5, C4, B3, C5"
Pure and Applied Science,Geology and Mineral Sciences,209,64.12,False,not admitted,"B2, C4, B2, C6, B3"
Pure and Applied Science,Mathematics and Statistics,173,53.62,True,not admitted,"C5, C5, C4, C4, C5"
Engineering and Technology,Aeronautics and Astronautics Engineering,223,66.88,True,not admitted,"A1, C6, B3, B3, B3"
Allied Health Science,Medical Laboratory Science,362,75.25,True,not admitted,"C6, C6, C6, B3, C4"
Engineering and Technology,Civil and Environmental Engineering,349,85.62,True,not admitted,"A1, A1, C5, B2, C4"
Education,Early Childhood and Primary Education,352,81.0,True,not admitted,"B2, B3, B3, C5, C5"
Agriculture,Crop Production,228,60.5,False,not admitted,"C6, C6, A1, C4, C6"
Arts,Performing Arts and Film Studies,170,56.25,True,not admitted,"C4, C6, A1, C4, C5"
Law,Jurisprudence and Public Law,362,79.25,True,not admitted,"B3, C5, C5, B3, C5"
Law,Jurisprudence and Public Law,285,73.62,False,not admitted,"C5, C4, A1, B3, C4"
Pure and Applied Science,Environmental Management and Toxicology,357,86.62,False,not admitted,"C4, A1, C4, A1, B3"
Education,Business and Entrepreneurship Education,392,88.0,True,not admitted,"C5, A1, C5, B2, B3"
Agriculture,"Animal Production, Fisheries and Aquaculture",322,81.25,True,not admitted,"A1, C4, A1, B2, C6"
Engineering and Technology,Mechanical Engineering,241,63.12,True,not admitted,"B2, C6, B3, C5, C6"
Allied Health Science,Environmental Health Science,370,88.25,True,not admitted,"C6, B2, A1, B2, B2"
Education,Special Education,142,54.75,True,not admitted,"C6, A1, B3, C6, B2"
Pure and Applied Science,Environmental Management and Toxicology,132,56.5,True,not admitted,"A1, B2, C5, C5, B2"
Pure and Applied Science,Zoology,328,77.0,False,not admitted,"C6, A1, C4, C4, C4"
Management and Social Sciences,Economics and Development Studies,181,62.62,True,not admitted,"A1, C4, B3, B2, C5"
Agriculture,Food Science and Technology,272,73.0,False,not admitted,"C4, C6, B2, B2, B2"
Law,Jurisprudence and Public Law,376,79.0,True,not admitted,"C5, C5, C4, B3, C6"
Allied Health Science,Public Health,178,62.25,True,not admitted,"B2, B2, C6, A1, C4"
Management and Social Sciences,Tourism and Hospitality Management,167,56.88,True,not admitted,"A1, C6, C5, C4, B3"
Management and Social Sciences,Economics and Development Studies,200,62.0,True,not admitted,"C5, A1, A1, C6, C5"
Arts,Fine and Applied Arts,209,66.12,True,not admitted,"C4, C5, A1, A1, C4"
Engineering and Technology,Civil and Environmental Engineering,238,71.75,False,not admitted,"B2, B2, C5, A1, B3"
Engineering and Technology,Mechanical Engineering,179,60.38,False,not admitted,"C4, B3, B3, C6, A1"
Information and Communication Technology,Computer Science,193,64.12,True,not admitted,"B3, A1, C6, B3, B2"
Management and Social Sciences,Accounting and Finance,142,57.75,False,not admitted,"B2, C6, B2, C4, A1"
Agriculture,"Animal Production, Fisheries and Aquaculture",333,83.62,False,not admitted,"C5, B3, A1, B3, A1"
Management and Social Sciences,Economics and Development Studies,299,70.38,True,not admitted,"C5, C4, C5, C6, B2"
Law,Common Law,331,79.38,True,not admitted,"B2, C6, A1, C4, C4"
Agriculture,Food Science and Technology,395,90.38,True,not admitted,"A1, B2, A1, C5, C5"
Allied Health Science,Medical Laboratory Science,136,54.0,False,not admitted,"C4, B3, C4, A1, C6"
Information and Communication Technology,Library and Information Science,224,66.0,False,not admitted,"B2, A1, B2, C6, C6"
Arts,Fine and Applied Arts,247,74.88,True,not admitted,"C5, A1, B2, B2, A1"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",382,80.75,True,not admitted,"C6, C4, C6, C5, A1"
Education,Business and Entrepreneurship Education,368,89.0,False,not admitted,"B2, A1, B3, C5, A1"
Pure and Applied Science,Zoology,264,68.0,True,not admitted,"C6, A1, C5, B2, C6"
Allied Health Science,Medical Laboratory Science,158,55.75,True,not admitted,"C5, B3, C4, B3, C4"
Management and Social Sciences,Economics and Development Studies,122,55.25,True,not admitted,"A1, B2, C5, C6, A1"
Law,Common Law,303,75.88,True,not admitted,"B2, C6, C4, B3, B2"
Agriculture,Food Science and Technology,140,61.5,False,not admitted,"B2, A1, C5, B2, A1"
Pure and Applied Science,Geology and Mineral Sciences,394,91.25,False,not admitted,"B3, C5, A1, A1, B3"
Pure and Applied Science,Plant and Environmental Biology,213,64.62,True,not admitted,"C5, C4, B3, A1, C4"
Engineering and Technology,Materials Science and Engineering,400,89.0,True,not admitted,"B2, C6, B3, A1, C4"
Agriculture,"Animal Production, Fisheries and Aquaculture",236,64.5,True,not admitted,"B3, C4, C5, C6, B2"
Information and Communication Technology,Library and Information Science,330,86.25,True,not admitted,"A1, A1, C6, A1, A1"
Engineering and Technology,Food and Agricultural Engineering,327,75.88,False,not admitted,"A1, C4, B3, C6, C6"
Information and Communication Technology,Library and Information Science,226,66.25,True,not admitted,"C4, B2, C5, C4, B2"
Management and Social Sciences,Politics and Governance,400,91.0,True,not admitted,"A1, B2, B2, C6, B3"
Agriculture,Agricultural Economics and Extension Services,365,83.62,True,not admitted,"B3, C4, C6, B3, A1"
Management and Social Sciences,Accounting and Finance,325,82.62,False,not admitted,"B3, A1, B3, C4, B2"
Information and Communication Technology,Mass Communication,304,76.0,False,not admitted,"C4, B2, C5, C5, A1"
Management and Social Sciences,Tourism and Hospitality Management,222,61.75,False,not admitted,"B2, C4, B3, C6, C6"
Engineering and Technology,Civil and Environmental Engineering,153,57.12,True,not admitted,"C4, C4, B3, B3, B3"
Management and Social Sciences,Accounting and Finance,306,77.25,True,not admitted,"A1, C4, B3, B2, C6"
Arts,English Language and Linguistics,140,54.5,True,not admitted,"C5, B3, A1, C6, B3"
Pure and Applied Science,Biochemistry,373,92.62,False,not admitted,"B2, B3, A1, B2, A1"
Education,Arts and Science Education,327,75.88,True,not admitted,"C5, C4, A1, C5, C5"
Education,Human Kinetic and Health Education,207,64.88,True,not admitted,"A1, A1, C6, C5, B3"
Allied Health Science,Medical Laboratory Science,227,65.38,True,not admitted,"C6, B2, C5, C4, A1"
Arts,English Language and Linguistics,285,71.62,False,not admitted,"C5, C5, C4, A1, C4"
Management and Social Sciences,Tourism and Hospitality Management,373,86.62,True,not admitted,"C5, B3, B3, B3, A1"
Allied Health Science,Environmental Health Science,249,64.12,True,not admitted,"B3, A1, C6, C6, C6"
Management and Social Sciences,Business and Entrepreneurship,361,80.12,False,not admitted,"B3, C4, B3, C6, C4"
Information and Communication Technology,Library and Information Science,174,52.75,True,not admitted,"A1, C5, C6, C6, C6"
Pure and Applied Science,Biochemistry,305,80.12,True,not admitted,"C4, A1, A1, A1, C6"
Information and Communication Technology,Library and Information Science,385,90.12,False,not admitted,"B3, B2, B3, B3, B2"
Engineering and Technology,Materials Science and Engineering,398,89.75,True,not admitted,"B3, C4, B2, A1, C5"
Information and Communication Technology,Computer Science,355,86.38,False,not admitted,"A1, B3, B3, B3, B3"
Education,Arts and Science Education,244,66.5,True,not admitted,"A1, C6, B2, C5, C5"
Arts,English Language and Linguistics,177,64.12,True,not admitted,"B3, C4, B2, B2, B2"
Agriculture,Food Science and Technology,264,68.0,False,not admitted,"B3, C4, C6, C6, A1"
Pure and Applied Science,Chemistry and Industrial Chemistry,360,81.0,False,not admitted,"C5, C4, C5, C4, A1"
Agriculture,Crop Production,211,63.38,True,not admitted,"C5, B2, B3, C4, C4"
Education,Educational Management,282,74.25,False,not admitted,"C5, A1, C4, A1, C5"
Management and Social Sciences,Economics and Development Studies,253,69.62,True,not admitted,"B3, B2, C5, C6, A1"
Law,Common Law,356,85.5,True,not admitted,"C6, B2, B2, B2, B2"
Education,Educational Management,169,61.12,False,not admitted,"C5, B3, C5, A1, A1"
Agriculture,Agricultural Economics and Extension Services,266,74.25,True,not admitted,"C5, A1, A1, C5, B2"
Management and Social Sciences,Tourism and Hospitality Management,372,82.5,True,not admitted,"C4, C4, C5, C5, A1"
Information and Communication Technology,Library and Information Science,215,64.88,True,not admitted,"C6, A1, B2, B2, C6"
Engineering and Technology,Civil and Environmental Engineering,141,50.62,True,not admitted,"C6, C5, A1, C5, C5"
Law,Business and Private Law,317,84.62,False,not admitted,"C4, A1, B2, A1, B2"
Agriculture,"Animal Production, Fisheries and Aquaculture",140,53.5,True,not admitted,"C6, C4, A1, C6, B2"
Information and Communication Technology,Library and Information Science,200,57.0,True,not admitted,"B3, C6, C5, C6, B3"
Arts,Performing Arts and Film Studies,221,67.62,True,not admitted,"B3, B2, B3, A1, C6"
Management and Social Sciences,Accounting and Finance,310,79.75,False,not admitted,"B3, A1, B3, C6, A1"
Agriculture,Crop Production,141,51.62,True,not admitted,"C6, C4, B3, C4, C4"
Law,Business and Private Law,357,87.62,True,not admitted,"A1, A1, A1, B3, C6"
Information and Communication Technology,Mass Communication,255,70.88,False,not admitted,"A1, B2, C6, B3, C4"
Information and Communication Technology,Computer Science,171,61.38,True,not admitted,"C6, B2, A1, C5, A1"
Law,Common Law,317,81.62,False,not admitted,"A1, C6, A1, A1, C4"
Pure and Applied Science,Microbiology,267,69.38,False,not admitted,"C5, C6, B3, C4, A1"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",290,76.25,True,not admitted,"C5, A1, B3, C5, A1"
Arts,Arabic and French,130,56.25,True,not admitted,"A1, B3, C4, C6, A1"
Pure and Applied Science,Zoology,178,56.25,False,not admitted,"B3, C6, B2, C4, C6"
Law,Jurisprudence and Public Law,245,65.62,True,not admitted,"B3, C4, C4, C5, C4"
Education,Early Childhood and Primary Education,163,54.38,True,not admitted,"C4, B3, C6, B2, C6"
Allied Health Science,Medical Laboratory Science,307,82.38,True,not admitted,"B2, A1, B2, C5, A1"
Allied Health Science,Public Health,296,79.0,True,not admitted,"C5, A1, B2, C4, A1"
Education,Arts and Science Education,342,80.75,True,not admitted,"B2, C4, C4, B2, C5"
Allied Health Science,Environmental Health Science,166,53.75,True,not admitted,"C5, B3, C4, C6, C4"
Arts,English Language and Linguistics,394,82.25,False,not admitted,"C4, C6, B2, C4, C6"
Law,Business and Private Law,122,52.25,False,not admitted,"C4, B3, C5, B2, C4"
Agriculture,Crop Production,227,63.38,True,not admitted,"C5, A1, B3, C6, C5"
Education,Early Childhood and Primary Education,207,66.88,True,not admitted,"B2, B2, C4, C4, B2"
Agriculture,Crop Production,135,55.88,True,not admitted,"B2, B2, C6, B2, C4"
Allied Health Science,Medical Laboratory Science,222,71.75,True,not admitted,"A1, B2, B3, C4, A1"
Agriculture,Food Science and Technology,293,75.62,True,not admitted,"A1, B3, A1, C6, C5"
Law,Common Law,186,61.25,True,not admitted,"B2, A1, C4, C4, C6"
Management and Social Sciences,Politics and Governance,170,56.25,True,not admitted,"B2, C5, C5, B3, C5"
Law,Jurisprudence and Public Law,180,61.5,True,not admitted,"A1, B3, B2, C4, C6"
Engineering and Technology,Materials Science and Engineering,234,72.25,True,not admitted,"B3, A1, B2, B2, C4"
Allied Health Science,Public Health,218,57.25,True,not admitted,"C6, C6, C5, B3, C5"
Agriculture,Crop Production,252,65.5,True,not admitted,"C4, C6, C6, C4, A1"
Pure and Applied Science,Environmental Management and Toxicology,237,63.62,False,not admitted,"B2, B3, C4, C6, C6"
Information and Communication Technology,Computer Science,187,57.38,True,not admitted,"B2, C5, C6, B2, C6"
Engineering and Technology,Food and Agricultural Engineering,216,62.0,True,not admitted,"C5, A1, C6, B3, C5"
Agriculture,Crop Production,230,70.75,True,not admitted,"A1, B2, A1, C6, B3"
Pure and Applied Science,Geology and Mineral Sciences,386,87.25,False,not admitted,"B3, A1, B2, C6, C4"
Law,Business and Private Law,332,74.5,True,not admitted,"C6, B3, A1, C6, C6"
Agriculture,Food Science and Technology,399,92.88,True,not admitted,"B3, C4, A1, B2, B2"
Pure and Applied Science,Zoology,235,66.38,False,not admitted,"B3, B2, C4, C4, C5"
Agriculture,"Animal Production, Fisheries and Aquaculture",286,70.75,False,not admitted,"C5, B2, C6, C4, B3"
Allied Health Science,Medical Laboratory Science,380,78.5,False,not admitted,"C4, C6, C4, C5, C5"
Education,Educational Management,228,63.5,False,not admitted,"C6, B3, C6, A1, C4"
Education,Special Education,181,62.62,False,not admitted,"C4, C4, B2, C4, A1"
Education,Arts and Science Education,147,60.38,True,not admitted,"B2, C5, A1, A1, C4"
Management and Social Sciences,Economics and Development Studies,219,64.38,False,not admitted,"C6, C5, C5, A1, A1"
Arts,English Language and Linguistics,148,57.5,True,not admitted,"C4, C6, A1, B3, B2"
Agriculture,"Animal Production, Fisheries and Aquaculture",272,66.0,False,not admitted,"B3, C6, C6, B3, C5"
Law,Business and Private Law,145,49.12,True,not admitted,"C6, C6, A1, C5, C6"
Arts,Arabic and French,142,53.75,False,not admitted,"B2, C5, B2, C5, C5"
Agriculture,"Animal Production, Fisheries and Aquaculture",272,70.0,True,not admitted,"C5, B3, C4, B3, C4"
Agriculture,Food Science and Technology,296,73.0,True,not admitted,"C5, B2, C5, A1, C6"
Allied Health Science,Medical Laboratory Science,150,58.75,False,not admitted,"B3, B2, A1, C4, C5"
Arts,English Language and Linguistics,226,66.25,True,not admitted,"C4, A1, C4, B2, C6"
Allied Health Science,Public Health,150,60.75,True,not admitted,"B3, B2, B3, B3, B2"
Agriculture,"Animal Production, Fisheries and Aquaculture",248,69.0,True,not admitted,"C5, A1, B3, C4, C4"
Arts,English Language and Linguistics,185,61.12,True,not admitted,"C4, A1, C5, B2, C5"
Management and Social Sciences,Business and Entrepreneurship,341,75.62,False,not admitted,"B2, C5, C6, C5, C4"
Law,Common Law,270,71.75,False,not admitted,"C5, C6, A1, B3, B2"
Agriculture,"Animal Production, Fisheries and Aquaculture",342,83.75,False,not admitted,"C4, C5, A1, B2, B2"
Arts,English Language and Linguistics,197,66.62,False,not admitted,"C4, C4, A1, A1, B3"
Education,Arts and Science Education,354,78.25,True,not admitted,"C6, C4, B3, C6, B2"
Engineering and Technology,Mechanical Engineering,261,69.62,True,not admitted,"A1, B3, C6, B2, C6"
Allied Health Science,Environmental Health Science,389,90.62,True,not admitted,"B2, C4, B2, A1, C4"
Information and Communication Technology,Library and Information Science,319,79.88,True,not admitted,"B3, B3, B2, A1, C6"
Management and Social Sciences,Politics and Governance,135,51.88,False,not admitted,"B3, A1, C4, C6, C6"
Law,Jurisprudence and Public Law,363,83.38,True,not admitted,"B2, C6, C5, A1, B3"
Management and Social Sciences,Politics and Governance,121,50.12,False,not admitted,"A1, C6, B2, C5, C6"
Allied Health Science,Medical Laboratory Science,258,73.25,False,not admitted,"B3, C6, A1, A1, B3"
Allied Health Science,Medical Laboratory Science,387,92.38,True,not admitted,"A1, C4, B2, B2, B2"
Law,Common Law,257,64.12,True,not admitted,"C5, B3, C5, C4, C6"
Management and Social Sciences,Tourism and Hospitality Management,147,56.38,True,not admitted,"C4, B3, B2, B3, C5"
Engineering and Technology,Electrical and Computer Engineering,290,78.25,False,not admitted,"C4, A1, C4, B3, A1"
Management and Social Sciences,Business and Entrepreneurship,359,79.88,True,not admitted,"C5, C6, A1, C6, B2"
Arts,Fine and Applied Arts,215,58.88,False,not admitted,"C6, C5, B3, B3, C6"
Education,Early Childhood and Primary Education,248,73.0,False,not admitted,"B3, C6, A1, B2, A1"
Allied Health Science,Environmental Health Science,379,88.38,True,not admitted,"A1, C5, B3, B3, B2"
Arts,"Religions, History and Heritage Studies",149,57.62,True,not admitted,"A1, B3, C4, B2, C6"
Education,Educational Management,332,76.5,True,not admitted,"C4, C4, C4, C5, B3"
Arts,Performing Arts and Film Studies,238,65.75,False,not admitted,"C5, C5, A1, B3, C5"
Education,Special Education,335,76.88,False,not admitted,"C5, C6, A1, B3, C5"
Management and Social Sciences,Tourism and Hospitality Management,133,56.62,True,not admitted,"C4, C5, A1, C4, A1"
Engineering and Technology,Civil and Environmental Engineering,242,73.25,False,not admitted,"B2, B3, B3, B3, A1"
Arts,English Language and Linguistics,142,64.75,True,not admitted,"A1, A1, B2, A1, B3"
Pure and Applied Science,"Chemical, Geological and Physical Sciences",167,58.88,True,not admitted,"B3, C4, B2, B3, C5"
Education,Business and Entrepreneurship Education,270,66.75,True,not admitted,"C6, B3, C6, C5, B2"
Engineering and Technology,Aeronautics and Astronautics Engineering,207,62.88,True,not admitted,"C4, B3, B3, C4, C4"
Law,Business and Private Law,310,74.75,True,not admitted,"B2, C6, C6, B2, B3"
Arts,"Religions, History and Heritage Studies",272,69.0,True,not admitted,"C4, B2, C5, C4, C5"
Agriculture,Crop Production,254,70.75,True,not admitted,"C5, C5, A1, B3, B2"
Agriculture,Food Science and Technology,322,83.25,True,not admitted,"A1, B2, A1, C4, C4"
Education,Human Kinetic and Health Education,183,55.88,True,not admitted,"C6, C6, B3, B2, C5"
Arts,Arabic and French,367,84.88,False,not admitted,"A1, B2, C6, B2, C5"
Law,Business and Private Law,206,61.75,True,not admitted,"B3, A1, C6, C5, C4"
Engineering and Technology,Food and Agricultural Engineering,150,51.75,True,not admitted,"C6, B2, C6, C4, C4"
Management and Social Sciences,Business and Entrepreneurship,164,58.5,True,not admitted,"B2, C5, C4, C5, A1"
Engineering and Technology,Food and Agricultural Engineering,307,73.38,False,not admitted,"C5, C6, A1, C4, C4"
Arts,English Language and Linguistics,189,63.62,False,not admitted,"A1, C6, A1, C4, B3"
Information and Communication Technology,Library and Information Science,192,61.0,True,not admitted,"B3, C5, B3, B3, C4"
Education,Human Kinetic and Health Education,351,78.88,True,not admitted,"C6, B3, C4, C4, B3"
